word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,10.11%,a,3.0%,in,1.56%
the,great,1.18%,most,1.14%,world,1.14%
from,the,33.12%,his,3.12%,america,2.5%
by,the,22.12%,a,15.49%,an,2.65%
with,the,21.18%,a,17.76%,an,3.74%
a,little,4.71%,few,3.61%,great,1.71%
in,the,29.75%,a,7.86%,this,2.75%
on,the,31.16%,a,9.3%,his,3.72%
to,the,13.18%,be,6.89%,a,3.14%
canada,is,13.21%,and,11.32%,the,7.55%
which,is,8.16%,he,7.48%,the,6.8%
he,was,13.48%,had,6.74%,is,5.62%
at,the,26.44%,least,6.73%,any,4.81%
of,the,24.88%,a,5.31%,his,4.89%
this,is,9.09%,country,6.06%,land,4.24%
were,to,4.65%,the,4.65%,a,4.65%
as,a,10.17%,the,9.15%,they,5.08%
would,be,21.82%,have,9.09%,probably,3.64%
not,the,3.87%,in,3.87%,be,3.87%
have,been,17.65%,the,3.53%,made,2.94%
them,and,10.34%,in,6.9%,with,6.03%
their,own,3.36%,faces,2.01%,eyes,2.01%
his,own,6.51%,mind,2.4%,having,2.05%
but,the,14.62%,it,8.02%,there,5.66%
they,are,22.17%,have,7.39%,were,5.42%
are,the,8.29%,not,4.88%,a,2.44%
only,in,10.0%,the,8.33%,a,6.67%
after,the,21.57%,a,15.69%,all,11.76%
who,had,10.53%,have,7.37%,were,5.26%
i,was,6.96%,have,6.09%,had,5.22%
new,york,43.14%,world,9.8%,feeling,3.92%
some,of,11.21%,say,2.8%,niggers,1.87%
an,american,4.79%,immense,4.79%,indian,4.19%
young,man,25.49%,poet,7.84%,men,5.88%
man,in,14.75%,of,4.92%,who,4.92%
more,than,17.27%,of,3.64%,and,3.64%
or,the,6.48%,a,4.05%,in,2.83%
than,the,27.06%,a,5.88%,those,4.71%
our,own,6.67%,boat,5.33%,way,2.67%
all,the,22.75%,this,5.39%,that,3.59%
one,of,20.23%,is,3.47%,and,2.31%
we,were,9.52%,feel,4.76%,are,3.97%
may,have,12.96%,be,9.26%,say,5.56%
for,the,24.08%,a,8.57%,him,4.08%
be,a,9.09%,the,2.6%,at,1.95%
has,been,12.9%,a,9.68%,no,4.3%
into,the,31.33%,a,19.28%,it,3.61%
out,of,30.12%,to,8.43%,in,6.02%
that,the,8.47%,of,3.81%,he,3.6%
so,much,9.55%,the,5.73%,that,4.46%
been,a,10.77%,there,4.62%,in,4.62%
any,rate,11.11%,other,6.35%,point,3.17%
when,the,22.64%,i,13.21%,he,11.32%
there,is,28.19%,was,16.78%,are,13.42%
is,a,10.16%,the,9.93%,that,4.74%
its,own,7.41%,most,3.7%,place,2.47%
if,you,20.0%,not,9.23%,the,9.23%
it,is,29.29%,was,10.0%,has,3.57%
world,in,9.8%,that,9.8%,the,5.88%
most,of,7.69%,part,5.13%,in,2.56%
like,a,22.67%,the,21.33%,an,6.67%
such,a,29.09%,as,7.27%,an,5.45%
was,a,8.61%,the,5.99%,to,5.24%
even,more,11.59%,of,8.7%,a,8.7%
time,to,14.81%,in,9.26%,the,7.41%
could,have,15.87%,not,9.52%,be,7.94%
these,people,6.1%,things,4.88%,two,2.44%
great,many,4.29%,english,2.86%,success,2.86%
her,as,5.77%,at,3.85%,she,3.85%
had,been,11.3%,not,5.22%,to,4.35%
no,one,6.52%,doubt,5.43%,longer,4.35%
what,it,10.96%,the,4.11%,we,4.11%
down,the,25.49%,to,19.61%,and,9.8%
other,and,9.52%,words,6.35%,in,3.17%
him,to,7.94%,and,7.14%,that,5.56%
over,the,39.22%,a,7.84%,his,5.88%
through,the,42.86%,a,8.93%,an,3.57%
up,the,11.54%,to,10.26%,and,8.97%
little,more,3.7%,village,3.7%,white,2.78%
english,and,7.41%,youth,3.7%,things,3.7%
very,slightly,3.06%,close,3.06%,well,3.06%
you,may,8.7%,are,5.8%,will,3.62%
