word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.54%,broken,2.65%,hour,1.77%
and,them,0.76%,it,0.69%,him,0.57%
the,of,15.77%,in,8.59%,and,6.13%
from,letters,3.11%,and,3.11%,away,2.48%
a,of,8.88%,in,5.99%,with,5.69%
in,and,3.25%,it,1.3%,man,1.17%
may,you,21.82%,we,7.27%,i,5.45%
to,seemed,2.42%,was,1.69%,seem,1.57%
canada,in,36.54%,of,26.92%,for,5.77%
which,of,11.72%,in,6.21%,to,3.45%
he,that,6.37%,and,5.99%,which,4.12%
at,and,5.85%,it,2.93%,or,1.95%
of,one,2.07%,out,1.48%,and,1.24%
this,in,12.65%,of,9.64%,all,5.42%
were,we,13.95%,they,12.79%,there,5.81%
as,and,2.36%,it,2.03%,was,2.03%
would,it,11.32%,he,9.43%,who,7.55%
not,is,11.61%,do,8.39%,are,6.45%
have,they,8.82%,i,8.24%,to,8.24%
them,of,17.09%,to,9.4%,with,4.27%
their,of,20.67%,in,6.67%,and,4.67%
on,nor,1.88%,out,1.88%,later,1.41%
his,of,27.99%,to,5.46%,in,4.78%
but,it,1.9%,all,1.43%,nothing,1.43%
they,as,7.39%,that,5.42%,but,3.94%
are,they,22.17%,there,9.85%,you,3.94%
with,and,3.12%,them,2.18%,as,1.87%
only,the,13.33%,was,5.0%,are,5.0%
after,hour,7.84%,and,5.88%,soon,1.96%
who,people,8.42%,men,6.32%,those,5.26%
i,and,5.41%,that,4.95%,when,3.15%
new,a,25.49%,the,17.65%,in,5.88%
some,in,8.41%,to,6.54%,with,6.54%
an,of,8.98%,with,7.19%,in,5.99%
man,young,21.31%,a,13.11%,the,6.56%
more,even,7.21%,the,5.41%,are,4.5%
or,him,2.07%,one,1.24%,berlin,1.24%
us,to,11.76%,before,3.92%,about,3.92%
than,more,22.09%,better,5.81%,greater,3.49%
our,of,31.58%,to,10.53%,and,3.95%
all,of,10.78%,at,4.79%,in,4.79%
one,as,5.75%,the,4.02%,in,3.45%
we,as,8.06%,that,8.06%,which,4.84%
for,took,1.23%,do,1.23%,save,1.23%
be,to,37.25%,would,7.84%,might,7.19%
has,it,16.3%,she,6.52%,who,4.35%
into,out,4.82%,back,3.61%,fell,3.61%
out,and,3.61%,come,3.61%,worked,2.41%
that,is,4.45%,of,4.24%,and,3.81%
so,and,7.05%,of,5.13%,was,2.56%
been,have,46.15%,had,20.0%,has,18.46%
any,at,16.13%,in,11.29%,of,6.45%
when,and,7.55%,even,3.77%,night,3.77%
there,and,12.75%,but,8.05%,that,2.68%
is,it,27.7%,there,9.46%,that,3.6%
its,of,13.58%,in,13.58%,at,8.64%
if,as,10.61%,even,7.58%,that,6.06%
it,but,4.03%,of,4.03%,and,3.55%
world,the,58.82%,new,9.8%,this,9.8%
most,the,38.46%,and,8.97%,a,5.13%
like,not,4.0%,is,4.0%,it,4.0%
such,of,9.09%,that,7.27%,for,7.27%
was,it,15.91%,he,13.64%,there,9.47%
even,and,10.14%,or,5.8%,that,2.9%
time,same,18.87%,the,13.21%,of,7.55%
could,he,11.29%,nothing,4.84%,that,4.84%
these,of,26.83%,in,8.54%,that,4.88%
great,the,44.29%,a,24.29%,these,2.86%
her,of,15.38%,on,5.77%,with,3.85%
had,he,15.65%,i,10.43%,who,8.7%
no,is,10.64%,and,6.38%,that,5.32%
what,of,9.72%,is,5.56%,and,5.56%
other,the,29.69%,each,18.75%,in,9.38%
him,to,10.32%,in,10.32%,of,10.32%
through,went,5.26%,and,3.51%,night,3.51%
up,go,6.33%,come,2.53%,spring,2.53%
little,a,42.34%,the,8.11%,of,3.6%
english,the,22.22%,an,9.26%,of,5.56%
very,the,13.27%,a,9.18%,is,8.16%
you,if,9.63%,as,3.7%,do,2.96%
