word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,39.26%,a,7.05%,his,5.03%
the,king,2.94%,little,1.88%,old,1.7%
is,the,8.44%,not,6.71%,a,6.06%
on,the,33.6%,his,8.28%,a,6.05%
from,the,30.15%,her,7.54%,his,6.03%
and,the,7.48%,said,5.38%,when,3.69%
golden,bird,10.64%,hair,10.64%,mountain,6.38%
bird,and,13.04%,am,6.96%,came,6.09%
hans,hans,9.76%,what,6.5%,you,5.69%
in,the,36.58%,his,7.77%,a,7.42%
old,woman,27.69%,man,10.77%,king,7.18%
rose,red,35.19%,up,7.41%,and,7.41%
his,wife,5.02%,father,3.25%,head,2.66%
wife,said,11.35%,and,11.35%,the,5.67%
prince,and,9.23%,said,6.15%,prince,6.15%
cat,skin,18.82%,and,4.71%,he,4.71%
girl,and,9.68%,to,4.84%,went,4.84%
of,the,25.7%,his,5.3%,them,4.2%
how,he,9.39%,to,8.29%,can,6.08%
they,were,12.28%,had,8.5%,went,5.67%
went,to,19.82%,into,9.23%,on,7.88%
to,the,16.33%,be,6.3%,her,3.92%
eat,and,13.83%,the,6.38%,you,5.32%
little,tailor,8.57%,man,7.27%,red,5.19%
tailor,and,11.94%,was,10.45%,who,4.48%
red,cap,31.87%,as,6.59%,shoes,4.4%
man,who,7.24%,said,5.43%,and,4.07%
peasant,said,7.84%,called,3.92%,however,3.92%
white,and,10.11%,as,7.87%,dove,7.87%
wolf,and,10.29%,was,8.82%,had,5.88%
seven,little,17.86%,at,14.29%,years,14.29%
queen,and,9.33%,had,8.0%,art,6.67%
tree,and,35.29%,the,9.24%,where,5.04%
three,times,9.8%,servants,5.88%,legged,4.9%
fox,and,11.76%,said,9.41%,came,5.88%
horse,and,24.72%,that,4.49%,i,4.49%
water,and,27.03%,of,14.41%,in,5.41%
life,and,13.56%,the,6.78%,then,5.08%
king,and,13.31%,was,6.83%,said,5.76%
first,the,3.88%,day,2.91%,on,2.91%
who,was,20.31%,had,16.56%,has,5.62%
what,a,10.21%,he,7.6%,was,5.23%
was,a,5.16%,so,3.92%,to,3.56%
a,little,5.91%,great,3.96%,long,2.16%
had,been,7.87%,a,6.08%,not,4.65%
beautiful,bird,8.94%,and,6.5%,princess,4.88%
stood,before,12.66%,still,12.66%,a,8.86%
which,he,11.64%,was,11.11%,the,6.35%
were,all,6.12%,sitting,3.5%,so,3.21%
about,the,17.54%,and,8.77%,in,5.85%
time,he,9.18%,and,8.21%,the,7.25%
when,he,24.18%,the,23.71%,she,12.32%
began,to,82.05%,his,2.56%,and,2.56%
it,was,13.35%,and,10.05%,is,6.91%
found,the,17.8%,a,10.17%,that,7.63%
that,he,13.1%,the,11.17%,she,7.65%
every,day,22.54%,morning,15.49%,one,8.45%
night,the,7.92%,came,7.92%,and,7.92%
one,of,16.79%,day,9.52%,another,3.01%
them,and,15.69%,to,5.59%,all,4.79%
gone,and,7.04%,my,7.04%,but,5.63%
very,much,6.99%,well,5.24%,angry,4.8%
at,the,24.15%,last,20.26%,once,5.51%
this,time,6.44%,and,5.21%,the,5.21%
all,the,21.47%,his,5.62%,this,4.09%
under,the,64.18%,a,8.96%,his,7.46%
set,out,26.72%,me,9.48%,to,6.03%
son,and,9.73%,was,6.19%,said,5.31%
but,the,20.61%,he,6.76%,she,5.52%
he,was,8.58%,had,8.53%,went,4.5%
fell,down,17.69%,asleep,15.38%,into,13.85%
asleep,and,26.98%,with,6.35%,then,6.35%
morning,the,13.27%,and,11.22%,when,10.2%
another,and,12.33%,of,4.11%,wife,4.11%
then,the,26.36%,he,19.7%,she,12.58%
too,and,10.38%,the,5.66%,small,4.72%
would,not,17.36%,have,12.45%,be,7.55%
not,know,4.39%,be,3.54%,come,2.69%
let,him,19.35%,me,14.84%,the,14.19%
him,and,15.64%,to,5.37%,the,5.25%
for,the,15.03%,a,9.13%,you,5.23%
some,time,11.51%,of,10.79%,water,5.76%
should,be,18.13%,have,14.62%,like,10.53%
come,and,13.37%,to,12.3%,back,12.3%
however,he,9.24%,the,6.72%,they,6.72%
last,he,19.05%,the,9.52%,they,6.8%
young,man,18.42%,lady,15.79%,princess,5.26%
laid,himself,21.54%,her,21.54%,them,7.69%
himself,down,10.59%,in,5.88%,and,5.29%
as,he,16.64%,the,9.36%,she,8.32%
heard,the,18.02%,a,14.41%,this,11.71%
came,to,29.93%,and,9.33%,in,4.34%
gold,and,27.27%,ring,7.95%,chain,6.82%
with,the,13.47%,her,8.88%,a,6.73%
up,and,18.25%,to,11.0%,the,10.25%
an,old,22.31%,end,9.23%,enchanted,4.62%
did,not,61.95%,you,6.83%,so,3.41%
no,one,15.21%,longer,10.03%,said,5.5%
only,a,14.53%,one,5.98%,the,3.42%
flew,away,18.03%,into,9.84%,down,8.2%
away,and,13.45%,the,8.28%,with,8.28%
brought,her,9.89%,the,8.79%,a,7.69%
called,out,18.68%,to,10.99%,the,7.69%
together,and,29.17%,to,5.21%,in,4.17%
more,and,14.18%,than,10.64%,but,3.55%
than,the,17.48%,that,7.77%,all,6.8%
said,the,23.0%,he,10.45%,to,9.15%
me,and,8.24%,to,6.46%,i,4.9%
i,will,19.87%,am,12.8%,have,9.36%
must,be,18.67%,go,11.45%,have,9.64%
have,you,7.95%,a,7.75%,been,6.36%
out,of,23.29%,and,9.19%,the,5.34%
thought,to,19.28%,he,13.25%,of,9.64%
find,the,19.74%,it,13.16%,a,10.53%
way,and,16.89%,off,6.08%,he,5.41%
wood,and,23.17%,to,8.54%,that,4.88%
side,of,40.68%,and,18.64%,path,3.39%
saw,that,18.13%,the,17.03%,a,14.84%
sitting,on,15.0%,in,11.67%,at,8.33%
so,he,13.17%,that,9.74%,she,7.27%
took,the,18.78%,her,10.2%,it,9.39%
made,the,14.88%,a,13.22%,her,7.44%
do,you,17.67%,not,16.61%,it,8.13%
will,be,8.6%,not,7.54%,give,5.79%
give,you,24.32%,me,22.3%,him,14.86%
you,will,7.36%,have,5.58%,are,5.33%
good,day,9.62%,evening,5.77%,for,5.29%
know,what,21.11%,how,10.0%,where,7.78%
your,head,3.04%,life,3.04%,father,3.04%
want,to,43.14%,a,9.8%,now,7.84%
evening,came,11.76%,he,8.82%,mother,8.82%
get,up,9.02%,the,8.2%,out,6.56%
there,was,21.79%,is,7.18%,and,6.92%
see,the,11.61%,what,8.39%,her,7.1%
two,children,7.04%,brothers,4.93%,and,4.23%
each,other,33.77%,of,16.88%,side,6.49%
other,and,10.77%,two,4.62%,side,4.62%
look,at,18.31%,for,8.45%,round,7.04%
go,and,10.22%,to,9.85%,home,9.49%
may,be,12.05%,not,12.05%,have,8.43%
be,a,6.63%,able,3.41%,the,2.84%
poor,man,8.54%,children,7.32%,child,7.32%
can,you,11.72%,do,7.59%,i,5.52%
such,a,68.83%,force,2.6%,as,2.6%
back,to,19.87%,and,16.56%,again,11.92%
ran,to,13.45%,away,12.61%,out,9.24%
into,the,61.38%,a,10.86%,his,5.85%
where,the,25.79%,he,10.69%,are,6.92%
looked,at,26.55%,up,8.85%,about,6.19%
if,you,23.22%,i,15.79%,he,13.62%
house,and,26.4%,door,7.2%,the,4.8%
left,the,12.66%,off,8.86%,his,7.59%
happened,that,19.61%,and,15.69%,to,11.76%
gave,him,41.67%,her,18.52%,it,8.33%
window,and,37.25%,the,9.8%,at,5.88%
could,not,32.95%,be,5.43%,but,4.65%
again,and,17.02%,the,9.22%,but,4.26%
world,and,19.35%,to,6.45%,i,4.84%
father,and,19.5%,said,7.55%,i,6.29%
long,time,18.49%,before,12.33%,as,10.96%
while,and,15.94%,he,14.49%,the,14.49%
might,be,13.95%,not,10.47%,lie,9.3%
home,and,22.73%,with,8.52%,again,7.95%
done,and,12.64%,the,8.05%,hans,6.9%
upon,the,29.74%,a,15.9%,it,10.26%
my,wife,4.38%,father,4.11%,mother,3.29%
sat,down,36.8%,a,6.4%,by,5.6%
down,and,18.21%,to,8.95%,the,8.33%
run,away,23.21%,after,12.5%,and,8.93%
over,the,35.37%,me,7.48%,his,6.8%
their,way,4.74%,heads,3.45%,lives,3.02%
