word type,number
everything,100768
adult,0
hate,0
function,61230
normal,number
the,7046
and,5481
to,2669
he,2091
a,1920
was,1384
of,1372
it,1308
she,1229
you,1189
in,1164
said,1162
that,1141
her,1115
i,1067
his,1036
but,898
him,881
they,847
had,839
as,771
for,751
so,730
not,707
with,705
then,674
when,647
on,629
at,620
all,591
will,570
be,529
have,503
into,480
out,471
is,466
came,461
me,455
went,445
what,423
one,405
up,402
little,401
there,390
them,377
my,371
were,344
this,328
if,328
down,325
who,320
no,311
by,298
away,292
do,285
again,282
king,278
go,278
would,265
could,260
took,247
their,241
your,234
very,229
now,224
man,221
are,220
did,211
good,210
time,207
old,205
from,199
upon,198
we,198
off,197
day,191
which,189
come,188
saw,183
how,182
home,180
before,175
should,172
about,171
himself,171
take,169
shall,169
well,169
must,166
thought,166
where,164
father,161
let,158
soon,158
see,155
cried,153
back,152
great,152
am,151
wife,150
way,148
give,148
last,147
over,147
two,146
long,146
can,145
been,145
once,145
after,145
mother,144
door,143
more,142
some,139
put,135
an,134
has,131
fell,130
other,130
asked,128
still,127
nothing,127
tree,126
house,126
or,126
hans,125
sat,125
till,125
like,125
beautiful,123
get,122
however,121
made,121
found,119
ran,119
began,117
only,117
head,117
set,116
bird,115
answered,114
son,113
looked,113
water,111
heard,111
got,109
gave,108
too,106
first,104
here,104
three,103
than,103
night,102
never,102
princess,101
morning,100
told,100
together,97
much,97
called,96
woman,96
golden,95
eat,94
red,92
brought,91
poor,91
herself,91
know,90
just,90
white,89
horse,89
gold,89
daughter,89
quite,89
done,88
might,86
cat,85
fox,85
round,85
forest,85
next,84
may,83
wood,82
castle,82
lay,82
left,80
through,80
stood,79
any,79
bed,79
make,79
child,79
young,78
cut,78
us,78
children,78
each,77
such,77
find,76
queen,75
hand,75
going,75
another,73
bring,73
every,72
gone,72
behind,72
look,71
fast,71
heart,70
fire,70
wolf,69
while,69
evening,68
tell,68
tailor,67
under,67
work,67
something,67
boy,67
prince,65
laid,65
girl,63
asleep,63
eyes,63
world,62
cook,62
flew,61
until,61
life,60
sitting,60
dwarf,60
side,59
own,58
why,58
dead,58
dear,57
seven,56
run,56
hair,56
care,56
many,56
ah,56
knew,56
wanted,56
open,56
bride,56
rose,54
fine,54
say,54
want,52
window,52
without,52
yes,52
full,52
enough,52
oh,52
peasant,51
happened,51
room,51
third,50
whole,50
thing,50
wished,50
better,50
leave,49
cannot,49
master,49
longer,49
yet,48
money,48
lived,48
thou,48
its,47
right,47
think,47
drink,47
sun,47
husband,47
hansel,46
our,46
thus,46
twelve,45
cap,45
second,45
garden,45
help,45
seen,45
anything,45
keep,44
rest,44
given,44
turned,44
bread,44
sprang,44
replied,44
sent,44
soldier,44
youth,43
looking,43
carried,43
threw,43
everything,43
table,43
bear,42
light,42
people,42
place,42
years,42
themselves,42
face,42
wish,42
wine,42
dog,41
these,41
became,41
same,41
brother,41
brothers,40
snow,40
always,40
standing,40
also,40
sleep,40
carry,40
led,40
end,40
kingdom,39
ate,39
met,39
live,39
true,39
piece,39
cow,39
near,39
huntsman,39
try,38
alas,38
large,38
black,38
ground,38
fall,38
mouse,37
ready,37
both,37
things,37
ring,37
fish,37
thee,37
forth,36
wind,36
opened,36
court,36
drew,36
glass,36
already,36
feast,36
chanticleer,35
four,35
passed,35
rode,35
servant,35
held,35
free,35
alone,35
wild,35
finger,35
shudder,35
snowdrop,34
lying,34
grew,34
half,34
lady,34
stone,33
friend,33
along,33
myself,33
eldest,32
lie,32
even,32
palace,32
blood,32
pick,32
skin,31
apple,31
sit,31
lost,31
hold,31
taken,31
pocket,31
yourself,31
most,31
felt,31
kitchen,31
killed,31
sea,31
giant,31
tom,30
clever,30
awoke,30
best,30
ask,30
ever,30
walked,30
forced,30
far,30
witch,30
clothes,30
land,30
maid,30
sister,30
does,30
sparrow,29
goose,29
beard,29
close,29
word,29
kill,29
hard,29
men,29
road,29
frightened,29
joy,29
tired,29
blow,29
thy,29
lion,28
wedding,28
fear,28
sure,28
big,28
quickly,28
turn,28
married,28
eaten,28
mind,28
small,28
length,28
fetch,28
goodbye,28
luck,27
fisherman,27
youngest,27
seized,27
comes,27
merry,27
saying,27
pleased,27
maiden,27
afterwards,27
wait,27
shut,27
food,27
lord,27
frederick,26
iron,26
ordered,26
agreed,26
country,26
ill,26
coming,26
followed,26
chamber,26
wept,26
pray,26
towards,26
death,26
heavy,26
trouble,26
kind,26
drove,26
able,26
pretty,26
therefore,26
shoes,26
cloak,26
miller,26
learn,25
air,25
pass,25
begged,25
hands,25
stay,25
sing,25
happy,25
against,25
fat,25
fellow,25
voice,25
thinking,25
died,25
caught,25
dark,25
fairy,24
mountain,24
use,24
matter,24
days,24
silver,24
draw,24
seemed,24
throw,24
because,24
top,24
loved,24
outside,24
straw,23
huntsmen,23
straight,23
gate,23
feet,23
speak,23
walk,23
danced,23
reached,23
hundred,23
birds,23
others,23
likewise,23
hear,23
town,23
anyone,23
ball,23
grandmother,23
jumped,22
afraid,22
shepherd,22
knocked,22
feel,22
ashes,22
pieces,22
return,22
high,22
sleeping,22
corner,22
dance,22
whom,22
remained,22
partlet,21
mr,21
angry,21
struck,21
though,21
die,21
moment,21
foot,21
neck,21
doing,21
rich,21
trees,21
nor,21
become,21
early,21
dish,21
tower,21
slept,21
wretch,21
wicked,21
royal,21
safe,21
else,21
cellar,21
whether,20
sadly,20
heaven,20
indeed,20
name,20
flower,20
ass,20
seeing,20
moon,20
duck,20
among,20
axe,20
princesses,19
frog,19
miser,19
juniper,19
doctor,19
salad,19
watch,19
tail,19
singing,19
drank,19
stretched,19
pity,19
pulled,19
scarcely,19
legs,19
stones,19
bad,19
rolled,19
middle,19
crept,19
laughed,19
vain,19
glad,19
cock,19
broke,19
grieved,19
show,19
horses,19
tried,19
having,19
cart,19
waiting,19
words,19
cottage,19
kept,19
dress,19
alive,19
peas,19
dancing,18
raven,18
apples,18
noise,18
thither,18
bottom,18
making,18
mouth,18
please,18
meantime,18
ought,18
farther,18
deep,18
girls,18
times,18
spot,18
strange,18
being,18
knife,18
lifted,18
carter,18
someone,18
showed,18
running,18
marry,18
waited,18
learnt,18
catherine,17
village,17
wide,17
journey,17
faithful,17
coat,17
pig,17
touched,17
placed,17
order,17
fallen,17
those,17
art,17
crying,17
hole,17
short,17
part,17
spring,17
love,17
spoke,17
inside,17
guest,17
dwarfs,17
sultan,16
below,16
loud,16
within,16
shoe,16
stopped,16
bargain,16
hour,16
roof,16
whose,16
really,16
nobody,16
dove,16
song,16
suddenly,16
neither,16
tomorrow,16
dinner,16
stop,16
none,16
stand,16
upstairs,16
boat,16
wants,16
flowers,16
pope,16
earth,16
peace,16
beasts,16
giants,16
haste,16
calf,16
blue,15
listen,15
cage,15
handsome,15
hill,15
robbers,15
move,15
sight,15
easy,15
save,15
thrown,15
cheese,15
beer,15
plenty,15
sang,15
around,15
listened,15
liked,15
warm,15
stuck,15
slipped,15
across,15
needle,15
dogs,15
draught,15
hunger,15
stairs,15
need,15
perhaps,15
servants,15
god,15
enchantress,15
strength,15
front,15
picked,15
cold,15
whatever,15
cake,15
roland,14
harm,14
everyone,14
beast,14
above,14
dirty,14
hung,14
river,14
saved,14
paid,14
lucky,14
task,14
certainly,14
ale,14
countryman,14
path,14
mine,14
hungry,14
step,14
green,14
beneath,14
doves,14
weep,14
bound,14
search,14
rage,14
meat,14
lives,14
promised,14
sons,14
heads,14
eating,14
cup,14
o,14
grey,14
sound,14
power,14
late,14
pot,14
behave,14
fly,14
sack,14
dragon,14
mountains,13
sausage,13
bush,13
mrs,13
gardener,13
counsel,13
seek,13
sorrowful,13
tears,13
obliged,13
shake,13
bones,13
broken,13
break,13
thirsty,13
shook,13
six,13
pushed,13
sad,13
climbed,13
branches,13
field,13
gathered,13
burning,13
year,13
wheels,13
empty,13
willingly,13
fair,13
between,13
pearls,13
few,13
hat,13
carriage,13
immediately,13
steps,13
play,13
thousand,13
thereupon,13
whither,13
hay,13
merchant,13
travelling,12
willow,12
nuts,12
grisly,12
silly,12
advice,12
judge,12
quietly,12
evil,12
dressed,12
changed,12
geese,12
knows,12
softly,12
deal,12
lips,12
played,12
milk,12
pillow,12
fortune,12
stream,12
knowing,12
arms,12
happily,12
satisfied,12
heap,12
thieves,12
sword,12
ears,12
beside,12
stayed,12
shore,12
presently,12
whilst,12
cask,12
returned,12
beg,12
says,12
church,12
body,12
swallowed,12
betrothed,12
hills,12
lina,12
sell,12
hurt,12
hazel,12
soup,12
lily,11
ravens,11
story,11
bow,11
business,11
forgot,11
buy,11
dry,11
hardly,11
cry,11
uneasy,11
reward,11
taking,11
feathers,11
itself,11
form,11
shone,11
city,11
earn,11
shoulders,11
hidden,11
new,11
used,11
bought,11
wonderful,11
fields,11
floor,11
sorry,11
daughters,11
follow,11
wall,11
emperor,11
hid,11
plate,11
fur,11
false,11
meadow,11
desire,11
entered,11
rope,11
stable,11
fetched,11
stomach,11
mill,11
dream,11
parson,11
manikin,11
mayor,11
barrel,11
stars,11
visit,10
kids,10
shot,10
easily,10
reach,10
fond,10
forward,10
merrily,10
ride,10
rate,10
following,10
pay,10
butter,10
drop,10
leg,10
talk,10
either,10
roast,10
worse,10
watched,10
hanging,10
screamed,10
sheep,10
sought,10
hunting,10
willing,10
fingers,10
grown,10
boar,10
since,10
courtyard,10
spindle,10
spin,10
princes,10
wings,10
finished,10
steak,10
nest,10
received,10
sisters,10
yellow,10
nice,10
flock,10
promise,10
grief,10
nut,10
lies,10
allowed,10
pair,10
dearest,10
bade,10
tore,10
comforted,10
