word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,down,5.07%,close,4.73%,her,3.04%
and,him,2.52%,it,2.41%,her,1.69%
the,to,6.17%,in,6.04%,and,5.8%
is,it,19.48%,that,14.72%,there,6.06%
on,went,5.58%,and,3.67%,put,3.19%
from,away,8.04%,came,4.52%,free,3.02%
golden,the,47.87%,a,15.96%,his,5.32%
bird,the,54.78%,a,9.57%,beautiful,9.57%
hans,iron,9.68%,hans,9.68%,goodbye,8.87%
in,and,3.88%,it,2.67%,was,2.07%
old,the,57.64%,an,14.29%,little,2.96%
rose,briar,12.96%,the,12.96%,and,11.11%
his,in,8.69%,of,6.95%,to,6.85%
wife,his,35.66%,the,16.78%,my,11.19%
prince,the,61.54%,prince,6.15%,enchanted,4.62%
cat,the,57.65%,a,4.71%,miss,4.71%
girl,the,44.44%,little,17.46%,goose,6.35%
of,out,7.95%,one,4.89%,full,2.77%
they,and,10.87%,that,8.98%,when,8.51%
went,he,21.56%,and,17.89%,she,12.16%
to,came,5.17%,said,3.94%,began,3.6%
eat,to,48.39%,and,17.2%,will,6.45%
little,the,32.33%,a,28.07%,her,6.02%
tailor,little,49.25%,the,41.79%,a,7.46%
mother,the,22.3%,her,14.39%,my,8.63%
red,little,21.74%,rose,20.65%,of,6.52%
man,the,27.6%,a,14.03%,little,12.67%
peasant,the,64.71%,little,17.65%,small,11.76%
white,snow,25.84%,a,16.85%,the,11.24%
wolf,the,88.41%,a,4.35%,brother,1.45%
seven,the,26.79%,for,7.14%,were,7.14%
queen,the,50.67%,and,10.67%,thou,6.67%
tree,the,42.06%,juniper,15.08%,a,15.08%
three,the,21.57%,all,10.78%,for,5.88%
fox,the,56.47%,mr,14.12%,mrs,12.94%
horse,the,36.36%,his,17.05%,a,10.23%
water,the,64.86%,of,8.11%,some,7.21%
life,of,36.21%,his,13.79%,my,12.07%
king,the,72.66%,old,5.04%,a,3.96%
first,the,37.5%,at,9.62%,must,4.81%
who,man,5.11%,daughter,2.88%,woman,2.56%
what,said,4.94%,know,4.69%,and,3.21%
was,he,13.05%,it,12.68%,she,10.13%
a,to,4.6%,in,4.49%,was,3.71%
had,he,21.39%,she,11.06%,they,8.65%
beautiful,a,29.75%,the,13.22%,so,9.09%
stood,he,11.69%,there,7.79%,and,6.49%
which,in,10.05%,of,4.23%,on,3.17%
were,they,30.5%,there,4.11%,and,4.11%
about,round,6.43%,was,5.85%,looked,4.09%
time,the,15.69%,long,13.24%,a,10.29%
when,and,31.16%,but,7.29%,morning,1.55%
began,and,24.56%,she,12.28%,he,10.53%
it,of,4.29%,that,3.75%,and,3.75%
found,and,21.37%,he,18.8%,they,13.68%
that,so,6.24%,and,4.31%,saw,2.9%
every,and,19.44%,in,9.72%,that,5.56%
night,the,27.45%,at,14.71%,third,7.84%
one,no,11.6%,and,4.44%,at,3.7%
them,of,15.12%,with,7.69%,to,6.63%
gone,was,34.72%,had,23.61%,were,9.72%
very,was,18.42%,a,12.28%,the,6.14%
at,and,7.77%,looked,4.85%,till,3.4%
this,all,7.36%,at,7.06%,of,5.83%
all,and,7.82%,with,5.44%,of,5.44%
under,down,7.46%,from,5.97%,gold,4.48%
set,and,25.0%,to,9.48%,he,8.62%
son,the,15.48%,his,14.29%,little,11.9%
but,it,3.58%,him,3.13%,nothing,2.24%
fell,and,16.92%,it,10.0%,he,9.23%
asleep,fell,31.75%,fast,23.81%,fallen,14.29%
morning,the,33.33%,next,28.28%,every,11.11%
another,one,16.67%,after,9.72%,to,8.33%
then,and,16.39%,it,3.13%,him,2.09%
he,when,7.43%,that,7.14%,and,6.71%
too,was,10.38%,he,5.66%,i,4.72%
would,he,21.51%,she,11.32%,it,7.55%
not,did,18.14%,could,12.14%,do,6.71%
let,and,17.76%,to,7.24%,will,6.58%
him,to,10.33%,gave,5.11%,with,4.54%
for,it,2.55%,him,2.28%,her,1.74%
some,for,7.91%,that,3.6%,fetch,3.6%
should,he,17.86%,i,15.48%,she,11.31%
come,not,10.22%,to,9.68%,you,9.14%
however,king,5.04%,him,3.36%,children,3.36%
last,at,85.03%,the,4.76%,his,2.72%
young,the,51.28%,a,8.97%,beautiful,6.41%
laid,he,22.22%,she,17.46%,and,15.87%
himself,to,22.22%,laid,8.19%,found,4.09%
as,and,16.23%,soon,4.68%,but,3.25%
heard,he,25.69%,and,9.17%,had,9.17%
came,he,14.44%,they,9.85%,she,7.88%
gold,of,20.22%,the,19.1%,a,11.24%
with,away,3.41%,come,2.41%,home,2.13%
up,it,5.97%,came,4.98%,got,4.73%
an,to,8.33%,at,5.3%,of,4.55%
did,he,18.66%,and,11.96%,she,9.09%
no,had,6.13%,and,5.16%,was,4.84%
only,was,10.26%,is,8.55%,had,7.69%
flew,she,9.84%,he,9.84%,and,8.2%
away,went,7.56%,it,7.22%,and,5.15%
brought,and,26.67%,had,12.22%,was,11.11%
called,he,16.84%,and,13.68%,was,12.63%
together,out,7.22%,happily,4.12%,gathered,4.12%
more,once,21.83%,no,10.56%,and,7.75%
than,more,14.71%,better,12.75%,bigger,3.92%
said,and,25.57%,he,6.81%,she,3.93%
me,to,9.67%,with,8.35%,give,7.25%
i,said,6.98%,and,6.6%,if,4.81%
must,you,25.9%,i,16.87%,we,7.83%
have,i,19.6%,you,13.2%,to,8.0%
out,set,6.6%,cried,6.6%,went,6.17%
thought,he,17.68%,and,15.85%,she,14.02%
find,to,25.0%,not,19.74%,will,11.84%
way,the,26.35%,his,16.22%,their,7.43%
wood,the,54.88%,of,13.41%,a,9.76%
side,the,20.69%,one,13.79%,his,12.07%
saw,he,26.82%,she,16.76%,and,15.08%
sitting,were,20.69%,was,15.52%,is,8.62%
so,was,7.44%,and,3.17%,it,2.62%
took,and,26.34%,he,21.4%,she,11.52%
made,and,19.83%,he,7.44%,had,6.61%
do,to,20.21%,i,10.28%,you,7.8%
will,i,36.94%,you,15.45%,we,9.06%
give,will,23.4%,to,17.02%,and,10.64%
you,if,6.32%,do,4.22%,are,3.96%
good,a,15.23%,the,12.18%,what,3.55%
know,not,36.9%,i,21.43%,you,9.52%
your,of,6.84%,for,6.84%,to,5.56%
want,i,31.37%,you,23.53%,not,7.84%
evening,the,41.18%,good,17.65%,one,8.82%
get,to,28.69%,not,8.2%,will,6.56%
there,and,14.21%,that,3.16%,was,2.63%
see,to,31.61%,and,14.19%,i,7.1%
two,the,22.07%,in,5.52%,had,4.83%
each,on,9.09%,and,7.79%,of,6.49%
other,the,64.62%,each,20.0%,no,3.85%
look,to,29.58%,and,11.27%,not,5.63%
go,to,22.34%,must,6.96%,will,6.96%
may,you,34.94%,i,16.87%,we,9.64%
be,to,31.93%,will,9.37%,shall,7.27%
poor,the,37.36%,a,19.78%,very,3.3%
can,you,28.47%,i,18.06%,what,10.42%
such,with,12.99%,in,11.69%,have,5.19%
back,come,15.23%,came,12.58%,went,7.95%
ran,and,18.1%,she,16.38%,he,10.34%
into,went,8.56%,go,4.8%,it,3.76%
where,place,4.88%,see,4.88%,know,4.27%
looked,and,29.46%,he,14.29%,she,6.25%
if,as,16.31%,and,7.69%,said,4.92%
house,the,52.48%,a,6.93%,little,5.94%
left,and,15.0%,he,12.5%,was,8.75%
happened,had,41.18%,it,21.57%,has,7.84%
gave,and,28.04%,she,14.95%,he,14.02%
window,the,72.55%,kitchen,5.88%,her,5.88%
could,he,30.23%,she,15.5%,they,9.69%
again,back,6.43%,home,5.0%,up,4.29%
world,the,79.03%,wide,11.29%,whole,4.84%
father,the,24.38%,his,20.62%,her,15.0%
long,a,28.28%,not,13.1%,as,8.97%
while,a,35.29%,little,11.76%,long,5.88%
might,they,21.18%,he,20.0%,she,11.76%
home,go,14.61%,went,10.67%,at,10.11%
done,had,27.27%,be,13.64%,have,10.23%
upon,once,6.57%,fell,5.56%,got,4.04%
my,in,4.85%,to,4.31%,of,4.04%
sat,and,20.0%,he,16.67%,she,10.0%
down,sat,14.15%,fell,7.08%,lay,6.15%
run,to,41.82%,had,9.09%,will,7.27%
over,all,5.44%,kerchief,5.44%,was,4.76%
their,with,7.47%,of,7.05%,in,6.22%
hair,her,19.64%,golden,17.86%,the,10.71%
without,and,11.54%,had,3.85%,out,3.85%
till,on,10.66%,waited,4.92%,stone,2.46%
castle,the,65.82%,a,6.33%,her,3.8%
before,as,12.57%,long,10.29%,stood,5.71%
fast,as,25.35%,so,8.45%,him,5.63%
take,to,20.83%,will,10.12%,not,7.74%
put,and,29.1%,to,8.96%,she,8.21%
been,had,45.52%,have,22.07%,has,11.72%
bring,to,23.19%,and,18.84%,will,13.04%
fine,a,41.51%,of,7.55%,my,5.66%
door,the,77.62%,house,6.29%,back,2.1%
next,the,48.81%,better,5.95%,and,4.76%
own,her,38.6%,his,31.58%,my,10.53%
once,at,23.61%,was,20.14%,and,3.47%
great,a,49.67%,the,9.93%,in,5.3%
now,and,10.31%,said,6.28%,was,3.59%
has,he,20.61%,who,13.74%,and,11.45%
still,was,9.6%,stood,8.0%,he,7.2%
tell,to,16.13%,and,11.29%,not,9.68%
how,and,13.22%,know,5.17%,you,3.45%
lay,and,14.81%,he,12.35%,there,9.88%
hand,his,32.88%,her,23.29%,the,15.07%
am,i,88.74%,bird,5.3%,and,1.99%
cried,and,33.33%,she,9.15%,he,7.19%
princess,the,64.36%,beautiful,5.94%,young,3.96%
why,said,5.45%,friend,3.64%,she,3.64%
her,to,9.33%,with,5.56%,of,4.93%
she,and,8.17%,that,7.11%,then,6.78%
