word type,number
everything,27400
adult,0
hate,41
function,14930
normal,number
he,1039
and,946
the,872
to,771
of,565
a,559
that,518
his,477
was,445
it,413
mr,363
in,267
peter,261
had,260
you,245
i,232
as,225
for,222
old,219
him,218
so,210
very,201
grandfather,198
all,196
is,190
frog,174
but,170
they,155
on,150
at,148
when,147
little,142
just,139
with,134
one,131
she,126
time,115
be,115
out,109
tail,108
what,106
would,105
if,105
have,104
no,103
said,103
there,100
know,99
mother,98
rabbit,98
now,97
then,96
about,95
why,94
long,91
them,85
didn't,80
could,79
do,77
great,77
nature,77
way,76
down,75
green,74
see,74
up,73
by,72
never,72
were,67
how,66
this,66
away,66
has,63
who,63
thought,62
right,61
more,60
like,59
from,59
big,57
made,57
himself,56
get,53
chipmunk,52
or,51
than,51
house,50
because,50
did,50
course,50
story,49
fox,49
always,49
over,48
good,48
ever,48
some,48
been,48
bear,47
coat,47
eyes,47
think,47
not,47
day,47
looked,46
an,46
any,46
where,44
first,44
people,44
hard,44
me,43
came,43
everybody,43
before,43
make,42
such,42
found,42
replied,42
forest,42
her,42
water,41
king,41
pool,41
went,40
knew,40
began,40
johnny,39
neighbors,39
into,39
go,39
are,38
work,37
much,37
smiling,37
tell,37
their,37
buzzard,36
coon,35
chug,35
rum,35
which,35
until,35
got,35
times,34
couldn't,34
possum,33
head,33
say,33
world,33
my,32
other,32
find,32
will,32
coyote,31
skunk,31
ol,31
back,31
saw,31
place,31
grew,31
your,31
told,31
don't,30
thing,30
ask,30
look,30
enough,30
chuck,29
striped,29
once,29
wasn't,29
things,29
still,29
after,28
voice,28
home,28
most,28
run,27
merry,27
breezes,27
trouble,27
eat,27
reddy,26
meadow,26
own,26
best,26
can,26
happy,25
better,25
every,24
oh,24
almost,24
yes,24
come,24
sat,24
only,24
unc,23
fly,23
does,23
sir,23
too,23
keep,23
sure,23
asked,23
even,23
business,22
fine,22
many,22
those,22
ago,22
around,22
legs,22
billy,21
mole,21
under,21
night,21
spotty,21
morning,21
anything,21
young,21
should,21
hear,21
wanted,21
again,21
smart,21
adventures,20
muskrat,20
red,20
black,20
hadn't,20
sitting,20
foolish,20
without,20
else,20
can't,20
meadows,20
sammy,19
jimmy,19
white,19
children,19
knows,19
handsome,19
same,19
seen,19
well,19
dear,19
believe,19
seemed,19
we,19
sometimes,19
might,19
use,19
beaver,18
hungry,18
bit,18
reason,18
started,18
lived,18
off,18
done,18
coming,18
while,18
tried,18
others,18
another,18
lynx,18
food,18
jay,17
snake,17
must,17
live,17
last,17
indeed,17
kept,17
along,17
nothing,17
safe,17
really,17
sight,17
help,17
west,16
man,16
hands,16
lily,16
perfectly,16
hurried,16
wouldn't,16
happened,16
looking,16
rest,16
each,16
here,16
mind,16
being,16
wonder,16
jerry,15
mouse,15
bob,15
wink,15
turtle,15
give,15
pad,15
please,15
us,15
beautiful,15
deal,15
felt,15
new,15
patch,15
turned,15
soon,15
lot,15
try,15
panther,15
quite,15
