word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,his,13.04%,the,11.59%,and,8.7%
and,he,5.51%,then,3.5%,the,2.97%
the,green,5.63%,smiling,4.14%,water,3.79%
mother,nature,78.57%,west,16.33%,nature's,5.1%
why,it,9.57%,he,6.38%,bobby,5.32%
of,the,15.04%,course,8.85%,his,8.5%
old,mother,38.36%,mr,21.46%,king,15.07%
time,he,13.04%,to,10.43%,mr,5.22%
in,the,39.7%,his,11.61%,a,7.49%
little,breezes,19.01%,mr,16.9%,people,9.15%
he,was,11.42%,had,8.42%,could,4.16%
right,away,24.59%,on,13.11%,down,11.48%
on,the,27.33%,his,21.33%,a,4.0%
about,it,22.11%,his,10.53%,what,6.32%
his,neighbors,5.77%,big,4.91%,house,4.49%
peter,rabbit,24.52%,looked,4.21%,and,4.21%
mr,rabbit,8.86%,coon,7.71%,fox,7.43%
grandfather,frog,87.88%,a,5.56%,of,3.03%
how,he,12.12%,to,12.12%,it,7.58%
when,he,38.1%,the,15.65%,peter,5.44%
green,forest,41.89%,meadows,24.32%,lily,18.92%
for,a,13.12%,the,8.6%,his,6.79%
i,don't,5.63%,am,4.33%,know,4.33%
chipmunk,was,7.69%,is,3.85%,the,3.85%
is,a,10.64%,the,6.91%,very,6.38%
rabbit,and,11.34%,peter,8.25%,was,7.22%
never,hurries,11.11%,again,6.94%,thought,6.94%
has,a,19.05%,now,6.35%,got,6.35%
a,rum,6.31%,great,5.77%,little,5.23%
tail,and,11.11%,at,6.48%,he,6.48%
there,was,26.0%,is,15.0%,he,7.0%
to,the,5.19%,be,5.19%,get,3.12%
have,a,11.54%,to,10.58%,no,8.65%
no,one,15.53%,longer,9.71%,sir,7.77%
at,the,12.16%,all,11.49%,first,10.81%
with,his,11.94%,him,11.19%,the,7.46%
him,and,9.17%,to,7.34%,that,6.42%
as,he,21.33%,if,8.0%,they,6.22%
they,were,13.55%,had,5.81%,didn't,4.52%
were,all,7.46%,not,4.48%,the,4.48%
all,the,31.12%,his,9.69%,about,6.12%
very,much,6.97%,hard,5.97%,polite,3.98%
would,be,15.24%,have,12.38%,make,4.76%
like,to,16.95%,that,8.47%,a,8.47%
know,that,12.12%,why,8.08%,he,6.06%
be,a,6.96%,sure,6.96%,able,4.35%
you,know,12.7%,see,9.84%,don't,3.69%
so,he,9.05%,that,8.57%,much,7.14%
frog,peter,5.2%,was,4.62%,he,4.05%
out,of,37.61%,and,5.5%,his,4.59%
them,and,7.06%,he,4.71%,to,4.71%
then,he,30.21%,mr,5.21%,old,3.12%
that,he,22.31%,it,4.31%,they,3.33%
it,was,17.68%,is,10.41%,and,5.08%
thought,he,20.97%,of,19.35%,it,11.29%
could,think,6.33%,fly,5.06%,get,5.06%
do,you,18.67%,tell,5.33%,that,5.33%
see,it,9.46%,how,9.46%,he,6.76%
was,very,7.9%,a,6.32%,so,4.97%
what,he,18.87%,do,9.43%,i,6.6%
great,deal,18.18%,great,11.69%,grandfather,11.69%
down,to,17.81%,in,9.59%,house,9.59%
from,the,21.05%,his,12.28%,that,12.28%
but,he,18.93%,it,6.51%,his,4.14%
way,and,11.84%,he,9.21%,to,9.21%
get,into,13.21%,a,5.66%,it,5.66%
if,he,28.57%,you,20.0%,i,19.05%
just,as,26.09%,a,7.25%,the,5.8%
more,than,23.33%,he,10.0%,and,6.67%
up,and,9.59%,his,6.85%,the,6.85%
now,he,8.25%,you,8.25%,mr,7.22%
long,time,20.88%,ago,17.58%,before,7.69%
one,of,20.61%,day,8.4%,he,4.58%
big,green,24.56%,goggly,10.53%,enough,10.53%
said,he,28.16%,peter,10.68%,grandfather,9.71%
didn't,know,15.0%,have,12.5%,say,8.75%
or,mr,13.73%,three,7.84%,in,3.92%
this,time,13.64%,is,7.58%,and,7.58%
away,and,7.58%,to,7.58%,he,6.06%
himself,and,12.5%,with,8.93%,as,7.14%
made,a,24.56%,him,12.28%,his,5.26%
than,ever,17.65%,he,9.8%,peter,5.88%
had,a,10.0%,been,8.08%,to,8.08%
nature,and,10.39%,had,10.39%,was,6.49%
she,had,10.4%,was,7.2%,saw,5.6%
who,is,12.7%,lived,7.94%,were,6.35%
