word type,number
everything,15540
adult,0
hate,90
function,8789
normal,number
he,680
and,541
the,490
to,468
was,353
a,331
that,327
of,290
bobby,290
it,274
his,239
in,219
had,196
i,147
so,132
him,131
as,129
for,125
you,117
all,116
is,100
coon,88
what,88
at,87
but,85
very,84
tree,83
farmer,81
with,79
buster,78
be,77
there,74
out,74
one,71
when,69
would,69
boy,69
have,68
brown's,68
up,66
just,66
then,65
this,64
little,63
know,63
if,62
no,62
they,61
didn't,60
could,58
see,56
peter,54
now,51
down,49
about,49
been,49
on,48
are,47
hollow,47
made,45
couldn't,45
more,45
home,44
by,43
house,43
old,42
green,42
time,41
than,41
from,40
them,40
eyes,40
do,39
forest,39
great,39
how,36
bear,36
think,35
right,34
knew,34
big,33
go,33
ever,32
good,31
which,31
going,31
dreadful,30
me,30
get,29
over,29
can,29
did,29
sleep,28
not,28
where,28
bowser,28
some,27
way,27
long,26
or,26
began,26
first,26
back,25
much,25
i'm,25
leg,25
place,25
bad,24
were,24
might,24
log,24
bobby's,24
will,24
make,24
stump,24
find,23
into,22
bed,22
sure,22
thing,22
look,22
any,22
himself,22
said,22
things,21
climb,21
found,21
because,21
thought,21
saw,21
after,21
broken,21
awake,20
came,20
still,20
my,20
blacky,20
am,19
wanted,19
happen,19
went,18
enough,18
has,17
such,17
inside,17
last,17
doorway,17
never,17
mind,17
who,17
felt,17
too,17
frightened,17
new,17
looked,17
away,17
brown,16
while,16
once,16
like,16
before,16
own,16
fear,16
same,16
course,16
run,16
quite,16
an,16
nothing,15
another,15
afraid,15
tell,15
heart,15
until,15
rabbit,15
most,14
only,14
end,14
fact,14
those,14
really,14
again,14
wasn't,14
chance,14
fight,14
voice,14
understand,14
started,14
dream,13
dreams,13
looking,13
around,13
almost,13
though,13
life,13
i'll,13
took,13
hurt,13
other,13
better,13
should,13
we,13
your,13
here,13
caw,13
happy,12
asleep,12
kept,12
few,12
through,12
take,12
well,12
something,12
can't,12
sat,12
hard,12
deep,12
billy,12
off,12
come,12
mistake,12
guess,11
nap,11
longer,11
stomach,11
being,11
day,11
every,11
open,11
known,11
poor,11
don't,11
move,11
let,11
least,11
i've,11
sleepy,11
w,10
anything,10
eat,10
climbed,10
tried,10
keep,10
deal,10
head,10
oh,10
feel,10
sir,10
world,10
trees,10
wouldn't,10
along,10
say,10
unc,10
two,10
sharp,10
held,10
seen,10
friends,10
straight,9
outside,9
