word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,green,8.37%,time,3.06%,tree,2.65%
of,the,15.92%,his,7.27%,course,5.54%
bobby,coon,28.28%,was,6.9%,had,4.83%
coon,was,9.09%,he,9.09%,and,7.95%
with,a,17.72%,his,10.13%,all,6.33%
little,spears,7.94%,cave,6.35%,he,4.76%
and,then,4.07%,he,3.88%,his,2.59%
i,am,9.59%,guess,7.53%,think,6.16%
a,great,7.25%,little,4.83%,very,3.93%
so,he,16.67%,that,12.88%,much,5.3%
very,very,11.9%,much,8.33%,well,4.76%
when,he,37.68%,you,5.8%,they,5.8%
all,the,22.41%,his,11.21%,that,6.03%
they,are,18.03%,were,6.56%,had,6.56%
that,he,17.43%,bobby,3.98%,tree,3.98%
be,that,3.95%,and,3.95%,going,3.95%
had,been,16.33%,to,5.1%,found,3.06%
know,what,12.7%,it,7.94%,that,6.35%
have,been,14.71%,a,11.76%,you,5.88%
to,the,6.41%,be,5.56%,his,4.06%
for,a,20.8%,the,10.4%,him,8.0%
it,was,23.72%,is,8.03%,would,5.11%
is,the,5.0%,a,5.0%,to,5.0%
you,see,22.22%,know,16.24%,think,4.27%
as,he,24.81%,if,7.75%,ever,7.75%
there,was,33.78%,is,9.46%,he,5.41%
was,a,6.8%,the,3.68%,no,3.12%
but,he,22.35%,bobby,5.88%,it,5.88%
his,eyes,6.69%,own,5.86%,doorway,5.44%
tree,and,12.05%,he,8.43%,was,4.82%
he,was,14.71%,had,11.76%,could,5.15%
up,to,15.15%,and,13.64%,his,9.09%
didn't,know,31.67%,have,6.67%,he,3.33%
him,and,10.69%,to,7.63%,so,5.34%
this,was,10.94%,time,7.81%,is,4.69%
in,the,25.57%,his,11.42%,a,10.05%
would,have,20.29%,be,11.59%,wake,4.35%
if,he,32.79%,it,8.2%,you,8.2%
then,he,29.23%,with,4.62%,they,3.08%
out,of,24.32%,and,6.76%,to,4.05%
see,he,25.0%,what,21.43%,all,5.36%
no,one,25.81%,sir,11.29%,longer,8.06%
what,he,19.77%,it,11.63%,was,6.98%
one,of,12.68%,was,8.45%,after,4.23%
at,all,20.69%,the,17.24%,last,16.09%
just,the,20.0%,as,15.38%,what,9.23%
now,he,9.8%,that,7.84%,though,5.88%
could,be,10.34%,have,8.62%,tell,5.17%
farmer,brown's,81.48%,brown,18.52%
brown's,boy,98.53%,barn,1.47%
boy,had,14.49%,and,13.04%,was,8.7%
peter,rabbit,25.93%,was,9.26%,had,5.56%
buster,bear,44.87%,was,7.69%,didn't,7.69%
