word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,in,11.45%,of,9.41%,to,6.13%
of,out,6.21%,one,3.1%,think,3.1%
bobby,that,4.5%,for,3.46%,and,2.77%
coon,bobby,93.18%,happiest,2.27%,brer,1.14%
with,and,3.8%,then,3.8%,do,2.53%
little,a,25.4%,the,7.94%,that,6.35%
and,him,2.59%,forest,2.4%,tree,1.85%
i,and,8.9%,if,3.42%,am,2.74%
a,for,7.85%,was,7.25%,in,6.65%
so,and,9.85%,was,7.58%,him,5.3%
very,a,15.48%,very,11.9%,was,10.71%
when,and,8.7%,but,4.35%,know,2.9%
all,at,15.52%,in,8.62%,was,6.03%
they,if,8.2%,when,6.56%,that,4.92%
that,so,5.2%,sure,3.98%,knew,3.98%
be,to,33.77%,would,10.39%,could,7.79%
had,he,40.82%,bobby,7.14%,boy,5.1%
know,you,30.16%,didn't,30.16%,to,12.7%
have,would,20.59%,to,19.12%,could,7.35%
to,began,5.14%,going,4.07%,wanted,3.43%
for,enough,3.23%,look,3.23%,and,2.42%
it,that,4.38%,of,4.01%,what,3.65%
is,it,22.0%,he,14.0%,that,8.0%
you,that,5.98%,if,4.27%,when,3.42%
as,just,7.81%,was,3.91%,much,3.91%
there,that,5.41%,and,4.05%,but,4.05%
was,he,28.33%,it,18.41%,there,7.08%
but,it,5.88%,out,3.53%,all,3.53%
his,in,10.46%,of,8.79%,to,7.95%
tree,hollow,16.87%,the,15.66%,that,15.66%
he,that,8.41%,as,4.72%,when,3.83%
up,curled,12.12%,climb,10.61%,looked,6.06%
didn't,he,56.67%,bobby,13.33%,buster,10.0%
him,for,7.63%,made,6.11%,to,4.58%
this,that,12.5%,and,10.94%,of,6.25%
in,was,3.65%,home,3.65%,and,3.65%
would,he,31.88%,it,20.29%,bobby,5.8%
if,as,16.13%,and,3.23%,home,3.23%
then,and,33.85%,happen,4.62%,gently,3.08%
out,get,8.11%,find,6.76%,look,5.41%
see,you,46.43%,to,23.21%,and,16.07%
no,was,17.74%,that,11.29%,in,4.84%
what,see,13.64%,know,9.09%,understand,7.95%
one,no,22.54%,some,14.08%,any,7.04%
at,in,3.45%,was,3.45%,it,3.45%
just,he,13.64%,was,12.12%,know,4.55%
could,he,60.34%,it,5.17%,bobby,5.17%
farmer,and,9.88%,that,7.41%,so,4.94%
brown's,farmer,97.06%,fanner,1.47%,armer,1.47%
boy,brown's,97.1%,his,2.9%
peter,of,5.66%,tree,5.66%,when,3.77%
buster,that,6.41%,as,3.85%,when,3.85%
