word type,number
everything,42940
adult,0
hate,131
function,23719
normal,number
he,1719
and,1487
the,1362
to,1239
a,890
of,855
that,845
was,798
his,716
it,687
in,486
had,456
i,379
mr,367
you,362
as,354
him,349
for,347
so,342
peter,315
all,312
bobby,302
is,290
very,285
old,261
but,255
at,235
when,216
they,216
with,213
little,205
just,205
one,202
on,198
grandfather,198
what,194
be,192
out,183
frog,174
there,174
would,174
have,172
if,167
no,165
know,162
then,161
time,156
now,148
about,144
didn't,140
up,139
could,137
see,130
this,130
she,127
them,125
said,125
down,124
coon,123
long,117
green,116
tail,116
do,116
great,116
by,115
rabbit,113
more,105
mother,103
way,103
why,102
how,102
made,102
from,99
been,97
right,95
house,93
than,92
were,91
buster,90
big,90
never,89
tree,88
eyes,87
are,85
bear,83
thought,83
away,83
get,82
think,82
farmer,82
forest,81
has,80
ever,80
nature,80
who,80
did,79
couldn't,79
good,79
himself,78
or,77
over,77
like,75
not,75
some,75
knew,74
me,73
where,72
home,72
go,72
because,71
first,70
boy,70
brown's,69
any,68
make,66
began,66
course,66
which,66
looked,63
found,63
came,63
much,62
an,62
into,61
such,59
before,59
went,58
day,58
always,57
back,56
place,56
will,56
hard,56
can,55
find,55
coat,54
chipmunk,53
people,53
thing,52
tell,52
my,52
look,52
saw,52
story,51
hollow,50
until,50
things,50
fox,49
after,49
still,49
enough,48
replied,46
once,45
sure,45
other,45
everybody,45
their,45
going,45
neighbors,44
your,44
her,44
head,43
say,43
run,43
work,43
world,43
wasn't,43
got,43
might,43
voice,42
own,42
most,42
johnny,41
water,41
don't,41
king,41
pool,41
too,40
grew,40
wanted,40
possum,39
i'm,39
times,38
better,38
only,38
bad,38
happy,37
smiling,37
almost,37
eat,37
buzzard,36
those,36
come,36
sat,36
every,35
chug,35
rum,35
around,35
same,35
told,35
dreadful,35
again,35
last,34
oh,34
best,34
should,34
while,34
unc,33
billy,33
sir,33
keep,33
another,33
mind,33
started,32
stump,32
nothing,32
felt,32
new,32
can't,32
we,32
sleep,32
chuck,31
coyote,31
skunk,31
ol,31
anything,31
inside,31
yes,31
well,31
really,31
legs,31
quite,31
striped,30
ask,30
trouble,30
am,30
off,30
bowser,29
hadn't,29
does,29
young,29
kept,29
else,29
seen,29
looking,29
here,29
bed,28
many,28
without,28
seemed,28
even,28
tried,28
business,27
black,27
night,27
merry,27
breezes,27
along,27
done,27
believe,27
heart,27
being,27
something,27
log,27
reddy,26
meadow,26
fly,26
indeed,26
took,26
i'll,26
wouldn't,26
hear,26
dear,26
fact,26
leg,26
brown,25
adventures,25
must,25
bit,25
deal,25
happen,25
asked,25
sometimes,25
fine,24
through,24
ago,24
fear,24
frightened,24
end,24
others,24
climb,24
use,24
bobby's,24
under,23
foolish,23
lived,23
happened,23
meadows,23
soon,23
heard,23
take,23
broken,23
try,23
longer,23
cried,23
red,22
live,22
knows,22
gave,22
turned,22
smart,22
awake,22
wind,21
jimmy,21
white,21
mole,21
spotty,21
hungry,21
morning,21
give,21
deep,21
warm,21
perfectly,21
safe,21
coming,21
afraid,21
sight,21
trying,21
muskrat,20
sammy,20
friends,20
reason,20
sitting,20
few,20
sharp,20
meant,20
help,20
each,20
certainly,20
trees,20
blacky,20
children,19
handsome,19
fast,19
hurried,19
put,19
want,19
patch,19
rest,19
asleep,19
funny,19
understand,19
two,19
food,19
jay,18
beaver,18
hands,18
ground,18
kind,18
feeling,18
stomach,18
lynx,18
life,18
used,18
wonder,18
least,18
these,18
west,17
snake,17
mean,17
us,17
behind,17
grinned,17
near,17
nose,17
minute,17
guess,17
may,17
let,17
thinking,17
sound,17
doorway,17
mouse,16
man,16
wink,16
lily,16
please,16
beautiful,16
breath,16
hurt,16
called,16
presently,16
discovered,16
ears,16
hunt,16
nap,16
worse,16
wonderful,16
stay,16
fight,16
though,16
jerry,15
bob,15
jack,15
turtle,15
days,15
pad,15
full,15
thousand,15
affairs,15
plain,15
catch,15
teeth,15
hole,15
round,15
briar,15
curiosity,15
watching,15
comfortable,15
that's,15
finally,15
lot,15
pleased,15
far,15
three,15
it's,15
panther,15
laughed,15
mouth,15
gone,15
chance,15
isn't,15
i've,15
mistake,15
land,15
cousin,15
tails,15
bark,15
lives,14
bat,14
wish,14
play,14
often,14
climbed,14
claws,14
caught,14
doesn't,14
instead,14
fond,14
watched,14
cut,14
open,14
sit,14
terrible,14
matter,14
yet,14
having,14
outside,14
w,13
voices,13
flitter,13
brought,13
won't,13
goggly,13
whom,13
telling,13
cat,13
doing,13
straight,13
held,13
reached,13
glad,13
getting,13
making,13
arms,13
begin,13
suddenly,13
flew,13
fun,13
mischief,13
continued,13
lost,13
left,13
move,13
next,13
thank,13
questions,13
watch,13
harder,13
known,13
side,13
dream,13
dreams,13
caw,13
illustration,12
paddy,12
poor,12
family,12
tongue,12
shouted,12
yellow,12
removed,12
hurrying,12
bank,12
perhaps,12
spite,12
wondered,12
everything,12
hold,12
seem,12
breakfast,12
laughing,12
shook,12
peter's,12
sleepy,12
rather,12
themselves,12
tired,12
feet,12
habit,12
grow,12
real,12
top,12
ah,12
chimney,12
proud,11
cannot,11
ready,11
wished,11
hurry,11
call,11
care,11
dinner,11
whole,11
concluded,11
noticed,11
half,11
suit,11
nice,11
among,11
joke,11
polite,11
scrambled,11
air,11
closed,11
taken,11
face,11
different,11
show,11
animals,11
plenty,11
wrong,11
feel,11
yo,11
squirrel,10
hound,10
miner,10
rings,10
flies,10
says,10
usual,10
folded,10
worry,10
minutes,10
none,10
word,10
folks,10
there's,10
given,10
sighed,10
sun,10
fright,10
able,10
learned,10
running,10
fat,10
throat,10
peace,10
slowly,10
anyway,10
whenever,10
temper,10
haven't,10
together,10
habits,10
steal,10
means,10
giving,10
bigger,10
sounded,10
winter,10
strange,10
curled,10
count,10
shake,10
stories,9
dead,9
wears,9
save,9
stop,9
sooner,9
waistcoat,9
path,9
angry,9
fairly,9
dreadfully,9
shall,9
pretended,9
living,9
clean,9
idea,9
stopped,9
exclaimed,9
enemies,9
fool,9
ashamed,9
sly,9
pretty,9
met,9
wolf,9
jump,9
turn,9
waited,9
honest,9
sorry,9
truly,9
listen,9
content,9
makes,9
wholly,9
looks,9
ha,9
dry,9
cold,9
true,9
hope,9
grumbled,9
piece,9
ledge,9
prickly,8
mrs,8
hurries,8
broad,8
interrupted,8
twinkle,8
cross,8
busy,8
satisfied,8
people's,8
surprised,8
curious,8
troubles,8
tumble,8
promised,8
bright,8
possible,8
thoughtfully,8
blow,8
suppose,8
forgot,8
growled,8
sigh,8
tall,8
edge,8
taking,8
dark,8
alone,8
natured,8
since,8
blue,8
doubt,8
high,8
keeping,8
above,8
simply,8
empty,8
ran,8
returned,8
crawl,8
splendid,8
needed,8
cave,8
chestnut,8
prisoner,8
understood,8
crow,8
heroes,8
burgess,7
stripes,7
laugh,7
pull,7
across,7
begged,7
upon,7
clear,7
hide,7
drew,7
fierce,7
snarled,7
hand,7
death,7
i'd,7
neighbor,7
remember,7
imagine,7
twinkled,7
happens,7
towards,7
lip,7
neat,7
brambles,7
easier,7
hidden,7
dreaming,7
ways,7
taught,7
spry,7
you'll,7
crept,7
branch,7
sniffed,7
scratched,7
foot,7
danger,7
seems,7
disappointed,7
working,7
speak,7
wee,7
built,7
winked,7
liked,7
swim,7
rock,7
howled,7
followed,7
slept,7
queer,7
faster,7
coon's,7
brer,7
bound,7
grumbly,7
rumbly,7
stared,7
pond,7
dam,7
sticks,7
giant,7
sniff,7
danny,6
porky,6
feast,6
reply,6
hair,6
shows,6
grass,6
wait,6
flat,6
bottom,6
tickled,6
pain,6
surely,6
crawled,6
playing,6
tear,6
later,6
between,6
visited,6
clothes,6
fix,6
minding,6
asking,6
finished,6
instant,6
stick,6
wake,6
tease,6
chuckled,6
besides,6
chuckle,6
possum's,6
cleared,6
forgotten,6
notice,6
bear's,6
hiding,6
thump,6
lay,6
narrow,6
escape,6
jenny,6
slow,6
ought,6
poking,6
remembered,6
early,6
sweet,6
probably,6
close,6
opened,6
moving,6
we'll,6
thief,6
intended,6
easy,6
fellow,6
lose,6
dig,6
possibly,6
yelping,6
howling,6
believed,6
teased,6
both,6
stand,6
brother,6
digging,6
nearest,6
question,6
part,6
short,6
helpless,6
forget,6
talking,6
particular,6
brook,6
its,6
wings,6
toes,6
walked,6
safest,6
hardest,6
cutting,6
pound,6
gently,6
happening,6
truth,6
axe,6
wow,6
opening,6
journey,6
doctor,6
joy,6
step,6
ca,6
slender,6
books,5
toad,5
fold,5
purple,5
hills,5
wise,5
friend,5
anywhere,5
small,5
stood,5
scared,5
ugly,5
wide,5
neck,5
strips,5
pulled,5
growling,5
nature's,5
children's,5
wear,5
comes,5
dropped,5
lone,5
worrying,5
arrived,5
greatest,5
forever,5
yourself,5
punished,5
lucky,5
single,5
cheat,5
played,5
guessed,5
demanded,5
suspect,5
somewhere,5
kill,5
become,5
dare,5
flying,5
struck,5
vain,5
hello,5
disappeared,5
grunted,5
dull,5
attention,5
uncomfortable,5
listening,5
feathers,5
passed,5
changed,5
raced,5
danced,5
ring,5
circle,5
let's,5
he'll,5
flash,5
quick,5
unless,5
stealing,5
envy,5
father,5
nodded,5
reward,5
frog's,5
growing,5
fastened,5
heads,5
walk,5
quiet,5
except,5
you've,5
somehow,5
stronger,5
wits,5
skin,5
hunting,5
eating,5
appetite,5
forth,5
jolly,5
bite,5
anybody,5
badger,5
leaving,5
fell,5
light,5
easily,5
eye,5
carried,5
tip,5
sah,5
grandpap,5
reminder,5
need,5
carry,5
daytime,5
hawk,5
insects,5
worth,5
covered,5
worst,5
fairies,5
against,5
finds,5
excuse,5
wood,5
awhile,5
upset,5
cloth,5
rattling,5
spears,5
granny,4
plays,4
builds,4
carries,4
xvi,4
dearly,4
loves,4
honor,4
twinkling,4
cruel,4
ached,4
terribly,4
muttered,4
nobody,4
kindly,4
fall,4
saved,4
hereafter,4
hopped,4
puzzled,4
lazy,4
garden,4
filled,4
actually,4
surprise,4
visit,4
indignant,4
decided,4
sunshine,4
rabbit's,4
pointed,4
talked,4
mammy,4
beat,4
politely,4
snapped,4
leave,4
imp,4
follow,4
latter,4
likely,4
sent,4
knocked,4
wondering,4
warning,4
safer,4
bother,4
nearly,4
showed,4
wren,4
set,4
panted,4
disturb,4
nuisance,4
rid,4
settled,4
comfortably,4
smartest,4
learn,4
became,4
change,4
retorted,4
promptly,4
he's,4
discovery,4
envious,4
handed,4
wishing,4
either,4
coats,4
what's,4
knowing,4
honestly,4
blame,4
past,4
ear,4
build,4
hind,4
beside,4
houses,4
noise,4
shiver,4
clever,4
myself,4
harm,4
ate,4
meddled,4
matters,4
grown,4
dug,4
tunnel,4
four,4
fair,4
cheating,4
naturally,4
hardly,4
hasn't,4
supper,4
bow,4
already,4
happiness,4
vulture,4
uns,4
don,4
trifling,4
fo,4
grunt,4
whether,4
overheard,4
wherever,4
sky,4
complain,4
shell,4
ho,4
waiting,4
talk,4
logs,4
north,4
despair,4
pounding,4
whimpered,4
tremble,4
scrambling,4
break,4
scratch,4
r,4
barn,4
thin,4
chain,4
spring,4
free,4
leaves,4
fishing,4
rustling,4
racket,4
excitement,4
brave,4
hero,4
series,3
wind's,3
animal,3
book,3
ii,3
iii,3
iv,3
v,3
vi,3
vii,3
viii,3
ix,3
x,3
xi,3
xii,3
xiii,3
xiv,3
xv,3
hi,3
beg,3
gruff,3
meddle,3
walking,3
arm,3
sides,3
spread,3
snarling,3
meddling,3
front,3
gathered,3
mink,3
homes,3
attend,3
dirty,3
woodchuck,3
smoothly,3
shoulder,3
carefully,3
starting,3
pass,3
hid,3
beginning,3
spied,3
severely,3
anger,3
blessed,3
excepting,3
added,3
visitors,3
tucked,3
tricks,3
managed,3
following,3
fail,3
ache,3
paused,3
winking,3
worked,3
mighty,3
hinted,3
thanked,3
share,3
fisher,3
hunted,3
realized,3
branches,3
spoke,3
miss,3
middle,3
appear,3
although,3
seeing,3
rolled,3
sharply,3
paid,3
respects,3
trust,3
sudden,3
hate,3
feared,3
bag,3
steps,3
stone,3
sang,3
clover,3
stretched,3
begun,3
deepest,3
sort,3
twice,3
cousins,3
desire,3
strong,3
missed,3
respect,3
declared,3
falling,3
hastened,3
mine,3
rascal,3
eagerly,3
exactly,3
bunch,3
cotton,3
putting,3
herself,3
cheated,3
fixed,3
crafty,3
nowhere,3
teeniest,3
toadstool,3
peeping,3
dancing,3
especially,3
frightening,3
spend,3
contented,3
mud,3
entrance,3
crowd,3
shouldn't,3
shadows,3
form,3
direction,3
straightway,3
dishonest,3
ruled,3
scarce,3
smaller,3
less,3
soft,3
thick,3
frighten,3
birds,3
neither,3
also,3
hung,3
welcome,3
shivers,3
shaking,3
squeeze,3
spent,3
excited,3
manner,3
nor,3
member,3
finish,3
bold,3
helped,3
important,3
afternoon,3
mustard,3
washed,3
taste,3
twisting,3
discontented,3
name,3
spoken,3
tops,3
frost,3
our,3
mumbling,3
soot,3
plumb,3
holler,3
satisfaction,3
obliged,3
strength,3
tribute,3
silly,3
thoughts,3
ones,3
dizzy,3
hoped,3
impatient,3
patient,3
finding,3
fill,3
moved,3
carrying,3
usually,3
sees,3
useful,3
happiest,3
studied,3
brace,3
useless,3
rough,3
weather,3
sorts,3
snarls,3
blows,3
imagined,3
comfort,3
trembled,3
badly,3
keen,3
swung,3
hopeless,3
crack,3
sick,3
partly,3
bravely,3
sniffs,3
ended,3
mend,3
men,3
smooth,3
heal,3
singing,3
longing,3
neighborhood,3
growl,3
snap,3
deeds,3
chase,3
neighborly,3
produced,2
author,2
color,2
harrison,2
boston,2
company,2
bedtime,2
quack,2
appears,2
illustrations,2
tag,2
race,2
attending,2
strictly,2
broke,2
wore,2
quietly,2
humph,2
shout,2
names,2
yellower,2
lips,2
twitched,2
you'd,2
flatter,2
chipmunk's,2
farther,2
tore,2
length,2
squealed,2
torn,2
minded,2
stammered,2
jack's,2
speaking,2
aloud,2
born,2
brushing,2
suits,2
planned,2
gray,2
tumbled,2
affair,2
weeds,2
sank,2
sand,2
doorstep,2
hearts,2
calling,2
combing,2
tangle,2
likes,2
greatly,2
yawned,2
blinked,2
frowning,2
doth,2
billy's,2
gravely,2
puff,2
stupid,2
shadow,2
rage,2
meal,2
chuckling,2
received,2
crumb,2
landed,2
body,2
pieces,2
jokes,2
paw,2
trick,2
fur,2
trotted,2
humbly,2
promise,2
common,2
interest,2
humble,2
he'd,2
during,2
grinning,2
somebody,2
sprang,2
sleeping,2
sneaked,2
stopping,2
beetles,2
formed,2
worries,2
finishing,2
runs,2
naturedly,2
waste,2
whatever,2
faint,2
stuck,2
clump,2
dared,2
dressed,2
advantage,2
shrewd,2
protect,2
perfume,2
ill,2
offering,2
independent,2
enemy,2
worried,2
fatter,2
thinks,2
scamp,2
trimmings,2
delights,2
credit,2
pretending,2
handsomer,2
love,2
handsomest,2
led,2
jay's,2
screaming,2
punish,2
stolen,2
homely,2
brighter,2
goodness,2
cover,2
kindest,2
admitted,2
sensible,2
stays,2
building,2
brightened,2
whispered,2
kicked,2
roots,2
start,2
thrown,2
goody,2
spending,2
bedroom,2
absolutely,2
blamed,2
clearly,2
refused,2
coyote's,2
opportunity,2
terms,2
weaker,2
hunger,2
larger,2
cunning,2
smarter,2
study,2
slyly,2
scraps,2
sharper,2
stole,2
footed,2
brush,2
yelped,2
mouthful,2
sore,2
healed,2
scampered,2
staring,2
ridge,2
snug,2
springtime,2
flowers,2
whirled,2
confessed,2
spends,2
enjoyed,2
poked,2
quarreling,2
stout,2
awakened,2
smell,2
miserable,2
tunnels,2
worms,2
grubs,2
dodged,2
grassy,2
tussock,2
bath,2
rattlesnake,2
sunny,2
relatives,2
gruffly,2
suspected,2
smartness,2
slipped,2
slim,2
slip,2
lying,2
conscience,2
lie,2
fault,2
straighten,2
eyelids,2
admired,2
suffer,2
ahead,2
neatness,2
fussy,2
tempting,2
wash,2
spoiled,2
brushed,2
low,2
pleasure,2
careless,2
grumble,2
cheerful,2
faith,2
smiles,2
ringed,2
bald,2
feather,2
listened,2
explained,2
pricked,2
concern,2
cool,2
belong,2
gets,2
shift,2
stretch,2
outen,2
louder,2
woman,2
fire,2
buster's,2
lesson,2
sign,2
wishes,2
case,2
paying,2
turning,2
pay,2
peevish,2
happier,2
difference,2
itself,2
happily,2
however,2
standing,2
answered,2
heavy,2
blessings,2
kindness,2
dodging,2
one's,2
roof,2
rested,2
nighthawk,2
pleasant,2
bugs,2
helps,2
caves,2
handiest,2
handy,2
awkward,2
result,2
unlike,2
bashful,2
drawn,2
earth,2
someone,2
loud,2
touched,2
dissatisfied,2
sober,2
popped,2
helping,2
certain,2
kinds,2
distance,2
safety,2
complaining,2
sized,2
swimming,2
stretching,2
awoke,2
return,2
project,2
ebook,2
storm,2
shrieked,2
bothersome,2
mostly,2
grunts,2
club,2
beating,2
roaring,2
split,2
state,2
chased,2
rush,2
experience,2
squeal,2
tightly,2
overhead,2
jumped,2
sinking,2
maybe,2
drove,2
possessed,2
shivered,2
horribly,2
axes,2
entered,2
weeniest,2
peeped,2
excitedly,2
lean,2
fallen,2
saying,2
whined,2
thumped,2
whoever,2
joined,2
strip,2
o,2
yelled,2
snapping,2
peered,2
growls,2
wider,2
hemlock,2
crouched,2
serious,2
wrapped,2
pained,2
orchard,2
greater,2
kick,2
board,2
parts,2
pity,2
box,2
bandage,2
driven,2
reach,2
mistress,2
fish,2
nests,2
eggs,2
perfect,2
language,2
within,2
everywhere,2
necessary,2
yours,2
tries,2
fully,2
freedom,2
appeared,2
wet,2
yawning,2
mustn't,2
heed,2
ordinarily,2
hang,2
declaring,2
nearer,2
backed,2
impudence,2
mortified,2
porky's,2
years,2
rotted,2
discover,2
discovers,2
nest,2
below,2
glee,2
tormentors,2
moment,2
tempered,2
granted,2
purposely,2
heedlessly,2
snuggest,2
mistaken,2
rocky,2
spirits,2
juliet,1
richard,1
j,1
pg,1
online,1
distributed,1
proofreading,1
team,1
frontispiece,1
cottontail,1
mocker,1
chatterer,1
bird,1
contents,1
chapter,1
list,1
refuses,1
believes,1
rumple,1
whiskers,1
lovely,1
strolling,1
realizing,1
leaps,1
whisked,1
snuggled,1
raked,1
grin,1
grab,1
smarted,1
bitterly,1
deed's,1
secret,1
wrought,1
expected,1
stripe,1
takes,1
jeered,1
settle,1
fusses,1
obeying,1
orders,1
scurrying,1
changing,1
blackest,1
otter,1
throw,1
arrive,1
rumpled,1
yard,1
gotten,1
shabby,1
wailed,1
wringing,1
advised,1
worker,1
sprinkled,1
order,1
plumy,1
briskly,1
hour,1
nod,1
chose,1
mercy,1
throwing,1
peering,1
melt,1
loving,1
faults,1
sneezed,1
forefinger,1
folds,1
undone,1
spoil,1
died,1
acquaintance,1
asserted,1
chewing,1
blade,1
persisted,1
safely,1
scowled,1
interruptions,1
stuff,1
trotting,1
heels,1
overeating,1
offered,1
sympathetic,1
boil,1
laid,1
fit,1
enjoying,1
bounding,1
dropping,1
licking,1
chops,1
delicately,1
response,1
invitation,1
victims,1
practical,1
pounce,1
shut,1
shortest,1
success,1
faces,1
sprung,1
bush,1
risk,1
tearing,1
tis,1
saucy,1
pert,1
fussing,1
bramble,1
bushes,1
bustled,1
wren's,1
boiling,1
setting,1
crossly,1
impolite,1
disappointment,1
crossness,1
pestering,1
everyday,1
attract,1
sharpest,1
seeming,1
tight,1
sundown,1
darkness,1
storehouse,1
frights,1
littlest,1
wakened,1
whispers,1
shocked,1
river,1
struggle,1
tears,1
cheeks,1
meeker,1
smear,1
clay,1
quack's,1
claybank,1
grieved,1
aware,1
glanced,1
sliest,1
disliked,1
released,1
brings,1
romp,1
romped,1
ambling,1
crooked,1
loose,1
pleases,1
plainly,1
dance,1
favorite,1
hops,1
skips,1
jumps,1
loudly,1
thumps,1
danger's,1
maddest,1
frolic,1
protested,1
energy,1
hopping,1
agreed,1
burst,1
bulrushes,1
surrounded,1
gruffest,1
blew,1
room,1
swallow,1
corner,1
shamefaced,1
pads,1
swallowed,1
slimmer,1
trimmer,1
weasel,1
lively,1
protecting,1
nights,1
darker,1
changes,1
furnish,1
defence,1
touch,1
fearful,1
overlooked,1
unkind,1
thinner,1
wistful,1
modest,1
owners,1
number,1
feathered,1
recognize,1
handsomely,1
wrinkled,1
homeliest,1
depend,1
swelled,1
indignation,1
who's,1
glared,1
dreamy,1
troublesome,1
seat,1
trousers,1
wobbly,1
gentleman,1
harsh,1
opens,1
behaves,1
signs,1
easiest,1
openly,1
trimmed,1
whitest,1
mended,1
winsome,1
bluebird's,1
track,1
sneaking,1
snooping,1
mistakes,1
judge,1
beware,1
wakes,1
waken,1
jerry's,1
answer,1
we'd,1
hint,1
smile,1
corners,1
chuck's,1
lifting,1
eyelid,1
toadstools,1
splash,1
dived,1
blinking,1
settling,1
losing,1
nudged,1
according,1
airs,1
drown,1
hated,1
loved,1
mournful,1
owned,1
hesitated,1
muskrat's,1
finer,1
rushes,1
twigs,1
lined,1
pride,1
surroundings,1
muskrats,1
industrious,1
shouting,1
strangers,1
stranger,1
warned,1
insisted,1
indignantly,1
news,1
creeping,1
skulking,1
stars,1
poured,1
gift,1
enjoy,1
peaceful,1
prey,1
master,1
timber,1
plan,1
outwit,1
schemed,1
meals,1
successful,1
boldly,1
selfish,1
pick,1
match,1
yelp,1
howl,1
anxious,1
brothers,1
sneak,1
raw,1
strained,1
send,1
scamper,1
raised,1
ridges,1
wants,1
summertime,1
misses,1
songs,1
tiptoed,1
softly,1
scare,1
repeated,1
bet,1
resolved,1
miner's,1
quarrelsome,1
continually,1
eaten,1
hearing,1
wasting,1
plump,1
minds,1
blaming,1
suggesting,1
foxes,1
badgers,1
thankful,1
underground,1
seldom,1
wonders,1
lame,1
twisted,1
raise,1
hiss,1
spot,1
mentioned,1
greeting,1
