word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,12.73%,his,10.0%,and,7.27%
and,he,4.92%,then,3.7%,the,2.56%
the,green,6.62%,time,3.09%,world,2.72%
mother,nature,77.67%,west,16.5%,nature's,4.85%
why,it,8.82%,he,5.88%,bobby,4.9%
of,the,15.34%,his,8.08%,course,7.73%
old,mother,33.33%,mr,18.39%,king,12.64%
time,he,14.74%,to,8.97%,mr,3.85%
in,the,33.33%,his,11.52%,a,8.64%
little,breezes,13.17%,mr,11.71%,people,7.32%
he,was,12.73%,had,9.75%,could,4.55%
on,the,25.25%,his,18.69%,a,5.05%
about,it,19.44%,his,7.64%,what,4.86%
his,eyes,4.53%,own,4.24%,head,4.1%
peter,rabbit,24.76%,looked,3.81%,was,3.81%
mr,rabbit,8.76%,coon,7.63%,fox,7.34%
grandfather,frog,87.88%,a,5.56%,of,3.03%
bobby,coon,29.8%,was,6.62%,had,4.64%
how,he,20.59%,to,8.82%,it,4.9%
when,he,37.96%,the,11.57%,you,5.09%
green,forest,60.34%,meadows,18.1%,lily,12.07%
for,a,15.9%,the,9.25%,his,6.94%
i,am,6.37%,don't,5.31%,guess,4.24%
is,a,8.68%,the,6.25%,very,5.21%
rabbit,and,9.82%,peter,8.04%,was,7.14%
a,great,6.32%,little,5.08%,rum,3.95%
coon,and,9.84%,he,8.2%,was,8.2%
tail,and,12.93%,at,6.03%,he,6.03%
there,was,29.31%,is,12.64%,he,6.32%
to,the,5.65%,be,5.33%,do,2.91%
have,a,11.63%,been,11.05%,to,8.72%
no,one,19.39%,sir,9.09%,longer,9.09%
at,all,14.89%,the,14.04%,first,10.64%
with,his,11.27%,a,11.27%,him,7.98%
him,and,9.74%,to,7.45%,that,4.87%
as,he,22.6%,if,7.91%,they,4.24%
they,were,11.57%,are,7.41%,had,6.02%
all,the,27.88%,his,10.26%,about,5.45%
very,much,7.37%,very,5.96%,hard,4.21%
would,have,15.52%,be,13.79%,make,4.02%
know,that,9.88%,what,8.02%,it,6.17%
be,a,5.76%,sure,5.24%,able,3.66%
you,see,13.85%,know,13.85%,are,3.05%
so,he,11.99%,that,10.23%,much,6.43%
frog,peter,5.2%,was,4.62%,he,4.05%
out,of,32.24%,and,6.01%,his,4.37%
them,and,9.6%,he,5.6%,to,4.8%
then,he,29.81%,they,3.11%,mr,3.11%
that,he,20.41%,it,4.06%,the,2.74%
it,was,20.09%,is,9.46%,and,3.93%
could,be,5.84%,get,5.11%,have,5.11%
do,you,13.16%,it,6.14%,what,4.39%
see,he,14.62%,what,13.08%,it,6.15%
was,a,6.53%,very,5.53%,so,4.02%
what,he,19.27%,it,7.29%,i,5.73%
great,deal,20.69%,great,7.76%,grandfather,7.76%
down,to,13.93%,the,8.2%,and,8.2%
but,he,20.08%,it,6.3%,his,3.94%
way,and,8.74%,he,7.77%,to,7.77%
if,he,30.12%,you,15.66%,i,15.06%
just,as,22.66%,the,10.34%,a,6.4%
more,than,20.95%,he,8.57%,and,7.62%
up,and,11.51%,to,9.35%,his,7.91%
now,he,8.78%,you,6.76%,mr,4.73%
long,time,18.8%,ago,14.53%,long,7.69%
one,of,17.82%,day,6.44%,was,4.95%
said,he,31.2%,peter,9.6%,grandfather,8.0%
didn't,know,22.14%,have,10.0%,say,5.71%
this,time,10.77%,was,6.92%,is,6.15%
made,a,22.55%,him,14.71%,his,5.88%
had,been,11.62%,to,6.8%,a,6.14%
she,had,10.32%,was,7.14%,saw,5.56%
