word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,10.43%,came,4.35%,knew,3.48%
the,in,12.1%,of,9.78%,all,6.5%
why,know,7.84%,frog,3.92%,wind,2.94%
of,out,6.91%,one,4.22%,think,2.93%
old,that,7.72%,the,7.34%,of,6.56%
and,him,2.29%,forest,1.95%,it,1.82%
time,the,26.92%,long,14.1%,this,8.97%
little,a,21.95%,merry,12.68%,the,12.2%
he,that,9.97%,when,4.78%,as,4.66%
on,right,6.06%,going,5.56%,sitting,4.04%
about,all,11.81%,on,3.47%,thought,3.47%
his,of,9.66%,in,7.84%,on,5.18%
peter,said,3.82%,cried,3.5%,at,3.18%
mr,old,13.08%,and,6.81%,little,6.54%
grandfather,replied,6.09%,ask,5.08%,said,5.08%
frog,grandfather,100.0%
bobby,that,4.65%,for,3.32%,and,2.99%
coon,bobby,73.17%,mr,21.95%,happiest,1.63%
how,and,12.75%,see,7.84%,know,7.84%
when,and,6.94%,ago,4.63%,but,4.17%
green,the,77.59%,big,12.07%,foolish,6.9%
rabbit,peter,69.03%,mr,27.43%,brer,1.77%
for,enough,3.18%,him,2.6%,hunt,2.6%
i,and,6.9%,if,6.63%,that,4.77%
is,it,22.49%,he,13.84%,there,7.61%
a,for,6.2%,was,5.86%,such,5.41%
in,and,2.89%,was,2.68%,home,2.27%
tail,a,24.14%,his,16.38%,no,4.31%
there,that,8.67%,and,4.62%,as,2.89%
to,began,4.13%,wanted,2.51%,had,2.51%
have,to,15.98%,would,15.98%,didn't,8.28%
no,was,10.91%,that,10.91%,have,7.27%
at,looked,3.4%,tail,2.98%,hard,2.55%
with,and,3.76%,it,2.35%,himself,2.35%
him,to,6.88%,for,6.59%,with,4.87%
as,just,13.11%,much,3.42%,soon,2.85%
they,that,9.26%,as,6.94%,when,5.09%
all,at,11.25%,of,5.14%,in,5.14%
very,was,15.44%,a,11.23%,the,8.77%
would,he,33.91%,it,14.94%,they,5.17%
know,you,30.86%,didn't,19.14%,to,17.28%
be,to,34.38%,would,12.5%,must,8.85%
you,if,7.2%,that,6.09%,do,4.16%
so,was,9.36%,and,7.89%,ever,5.56%
out,keep,7.65%,find,7.65%,found,6.01%
them,of,22.4%,at,5.6%,with,4.0%
then,and,34.16%,just,3.73%,do,1.86%
that,so,4.14%,and,3.55%,knew,3.43%
it,that,4.96%,of,4.96%,about,4.09%
could,he,56.93%,i,5.84%,they,5.11%
do,to,31.03%,i,12.93%,what,8.62%
see,you,38.46%,to,26.92%,and,10.77%
was,he,27.39%,it,17.34%,there,6.41%
what,see,8.9%,just,6.81%,know,6.81%
great,a,48.28%,the,12.07%,his,7.76%
down,sat,10.48%,right,9.68%,tumble,6.45%
but,it,3.53%,know,2.35%,all,2.35%
way,the,25.24%,that,10.68%,this,5.83%
if,as,16.77%,and,5.39%,even,3.59%
just,was,10.24%,he,9.27%,had,4.88%
more,once,17.14%,any,10.48%,the,9.52%
up,looked,7.19%,curled,7.19%,climb,5.04%
now,and,8.84%,it,3.4%,but,3.4%
long,a,28.21%,that,7.69%,long,7.69%
one,no,15.84%,some,6.93%,any,5.94%
said,he,9.68%,rum,8.06%,and,4.84%
didn't,he,52.52%,bobby,5.76%,they,5.04%
this,and,12.31%,that,6.92%,of,5.38%
made,he,13.73%,had,13.73%,and,10.78%
had,he,36.62%,bobby,3.07%,she,2.85%
she,that,8.66%,as,7.87%,when,5.51%
