word type,number
everything,5280
adult,0
hate,0
function,2988
normal,number
the,388
and,224
to,165
he,122
of,111
a,96
his,89
aladdin,88
him,88
her,87
in,81
was,68
that,56
she,54
it,52
for,50
had,46
i,45
you,44
princess,44
but,43
with,40
said,38
sultan,37
on,34
at,32
who,31
magician,31
not,30
palace,30
so,27
by,26
lamp,26
as,26
what,26
this,25
me,25
mother,24
out,24
genie,24
your,21
my,21
is,21
from,20
have,20
went,19
when,18
which,18
will,18
son,17
no,16
all,15
told,15
into,15
they,15
up,15
day,14
there,13
be,13
them,13
asked,12
saying,12
go,12
vizier,12
one,11
if,11
while,11
came,11
down,11
before,11
then,11
back,11
must,11
left,11
hall,11
would,10
do,10
replied,10
bade,10
place,10
where,10
see,10
sent,10
window,10
himself,9
am,9
home,9
some,9
only,9
done,9
slave,9
were,9
set,9
woman,9
father,8
tell,8
take,8
next,8
two,8
time,8
ring,8
an,8
showed,8
could,8
made,8
first,8
put,8
carried,8
slaves,8
their,8
nothing,7
long,7
little,7
head,7
begged,7
about,7
gave,7
more,7
find,7
rubbed,7
ask,7
jewels,7
after,7
night,7
than,7
magic,6
uncle,6
found,6
having,6
took,6
beautiful,6
till,6
appeared,6
three,6
come,6
bring,6
great,6
might,6
daughter,6
looked,6
speak,6
say,6
now,6
again,6
sultan's,6
vizier's,6
people,6
africa,6
once,5
called,5
like,5
fell,5
knew,5
bidding,5
been,5
city,5
we,5
whereupon,5
through,5
cried,5
make,5
days,5
passed,5
very,5
returned,5
silver,5
stood,5
good,5
such,5
know,5
command,5
gold,5
followed,5
twenty,5
four,5
windows,5
china,5
old,5
holy,5
lived,4
idle,4
tears,4
african,4
brother,4
ran,4
always,4
dead,4
however,4
wine,4
seen,4
forty,4
years,4
fine,4
led,4
last,4
something,4
powder,4
same,4
stone,4
away,4
word,4
door,4
garden,4
off,4
cave,4
its,4
man,4
most,4
receive,4
another,4
remained,4
thou,4
eyes,4
herself,4
feast,4
shall,4
everyone,4
fetched,4
gone,4
months,4
enough,4
bed,4
new,4
wish,4
morning,4
happened,4
dressed,4
lost,4
saw,4
dome,4
side,4
hunting,4
lamps,4
crowd,4
exchange,4
roc's,4
egg,4
streets,3
died,3
sir,3
kissed,3
child,3
thought,3
fruit,3
country,3
bought,3
clothes,3
way,3
outside,3
pulled,3
earth,3
middle,3
fear,3
obey,3
may,3
foot,3
those,3
anything,3
these,3
gathered,3
refused,3
until,3
world,3
hand,3
crying,3
hands,3
prayer,3
forgotten,3
opened,3
soon,3
house,3
sell,3
fetch,3
plates,3
since,3
use,3
many,3
heard,3
stay,3
bath,3
veil,3
sight,3
changed,3
loved,3
deeply,3
live,3
laughing,3
carry,3
napkin,3
entered,3
chamber,3
throne,3
rise,3
want,3
forgive,3
own,3
granted,3
going,3
answer,3
marry,3
has,3
return,3
wife,3
life,3
how,3
believe,3
thing,3
cut,3
wished,3
seeing,3
thinking,3
wait,3
half,3
round,3
arms,3
ten,3
build,3
unfinished,3
diamonds,3
finished,3
wonder,3
work,3
peace,3
whom,3
mind,3
noise,3
become,3
forced,3
executioner,3
false,3
death,3
cup,3
poor,2
tailor,2
boy,2
spite,2
prayers,2
did,2
stranger,2
neck,2
coming,2
indeed,2
used,2
sit,2
surprised,2
turned,2
trade,2
hung,2
burst,2
offered,2
over,2
brought,2
nightfall,2
gates,2
sat,2
girdle,2
divided,2
reached,2
mountains,2
tired,2
lead,2
show,2
wonderful,2
fire,2
front,2
kindly,2
treasure,2
else,2
touch,2
exactly,2
steps,2
open,2
leading,2
large,2
halls,2
without,2
or,2
die,2
instantly,2
trees,2
oil,2
finger,2
everything,2
got,2
arrived,2
haste,2
give,2
flew,2
terrible,2
throwing,2
plainly,2
cunning,2
though,2
alone,2
purpose,2
intending,2
get,2
kill,2
afterwards,2
doing,2
rose,2
fainted,2
fruits,2
precious,2
stones,2
alas,2
cotton,2
keep,2
instead,2
price,2
eat,2
containing,2
comes,2
splendid,2
us,2
thus,2
proclaimed,2
face,2
hid,2
behind,2
love,2
frightened,2
meant,2
marriage,2
hearing,2
request,2
laid,2
grand,2
council,2
every,2
certain,2
wants,2
sign,2
kneeling,2
hesitated,2
promising,2
vain,2
threatened,2
majesty,2
presented,2
consented,2
rejoicing,2
presently,2
promise,2
hither,2
bridegroom,2
master,2
midnight,2
transported,2
married,2
leaving,2
harm,2
too,2
lay,2
adding,2
end,2
remembered,2
poverty,2
felt,2
ever,2
value,2
living,2
remember,2
mine,2
basins,2
ones,2
think,2
richly,2
telling,2
horse,2
six,2
embraced,2
spread,2
fit,2
other,2
walls,2
each,2
whose,2
rubies,2
even,2
carpet,2
carefully,2
horseback,2
taken,2
treated,2
honour,2
beauty,2
matter,2
invited,2
knowing,2
enchantment,2
won,2
several,2
means,2
travelled,2
town,2
reply,2
raised,2
sitting,2
can,2
cornice,2
lonely,2
towards,2
met,2
ordered,2
wretch,2
pleasure,2
under,2
wife's,2
heart,2
breast,2
ill,2
