word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
aladdin,and,10.23%,was,4.55%,had,4.55%
and,the,7.59%,asked,3.12%,told,2.23%
the,princess,10.57%,sultan,9.28%,magician,6.19%
a,long,3.12%,little,3.12%,roc's,3.12%
in,the,35.8%,a,9.88%,his,4.94%
that,the,16.07%,he,10.71%,aladdin,7.14%
he,was,9.84%,had,8.2%,said,5.74%
of,the,33.03%,his,8.26%,her,5.5%
his,mother,12.36%,eyes,4.49%,head,3.37%
was,the,11.76%,not,4.41%,very,4.41%
him,to,13.64%,the,7.95%,and,6.82%
to,the,16.46%,see,4.88%,her,4.88%
her,and,10.34%,in,4.6%,father,3.45%
she,was,12.96%,said,7.41%,went,7.41%
it,was,15.38%,and,9.62%,the,9.62%
