word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
aladdin,but,5.68%,replied,4.55%,to,4.55%
and,aladdin,4.02%,her,4.02%,lamp,3.57%
the,of,9.3%,in,7.49%,to,6.98%
a,in,8.33%,by,5.21%,into,4.17%
in,him,6.25%,her,5.0%,stood,3.75%
that,him,7.14%,it,3.57%,is,3.57%
he,when,6.56%,that,4.92%,as,4.1%
of,out,8.11%,him,4.5%,hall,2.7%
his,of,10.11%,to,5.62%,in,4.49%
was,he,17.65%,it,11.76%,she,10.29%
him,told,5.68%,showed,5.68%,asked,4.55%
to,him,7.27%,came,3.64%,said,3.64%
her,to,9.2%,of,6.9%,with,5.75%
she,as,7.41%,what,5.56%,child,3.7%
it,that,5.77%,in,5.77%,on,3.85%
