word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,25.17%,a,8.61%,his,2.87%
and,the,7.34%,then,5.0%,he,3.53%
the,other,1.77%,same,1.22%,men,1.17%
it,was,29.57%,and,6.66%,would,4.29%
was,a,12.99%,the,6.33%,not,4.28%
four,o'clock,13.7%,or,8.22%,hours,5.48%
when,he,31.22%,the,19.0%,they,12.01%
over,the,20.69%,and,10.34%,a,7.88%
began,to,60.91%,again,3.64%,in,3.64%
to,the,9.61%,be,7.25%,him,3.34%
there,was,38.82%,were,19.61%,is,5.72%
had,been,16.87%,to,6.01%,a,3.9%
been,a,7.32%,the,3.21%,able,2.86%
a,man,3.71%,little,2.22%,few,1.52%
all,the,25.15%,day,5.62%,of,4.91%
way,to,11.52%,and,10.91%,of,8.48%
her,and,5.2%,hands,2.86%,to,2.73%
see,the,13.99%,that,8.81%,it,6.22%
that,he,15.28%,the,9.82%,it,6.19%
things,and,6.98%,that,6.2%,in,5.43%
went,on,13.82%,out,13.45%,to,13.09%
in,the,34.02%,a,10.01%,his,5.99%
after,the,15.09%,that,9.91%,a,6.47%
home,and,13.45%,with,9.42%,at,5.83%
every,one,15.19%,day,10.13%,hour,5.49%
one,of,19.82%,could,3.28%,to,2.89%
out,of,28.01%,and,7.5%,to,6.36%
of,the,25.35%,a,5.29%,his,4.63%
day,and,20.74%,he,7.04%,long,4.81%
with,the,16.58%,a,15.17%,his,6.57%
too,much,10.56%,had,4.97%,was,4.35%
others,and,9.84%,had,8.2%,who,6.56%
them,and,11.66%,to,8.31%,the,4.56%
she,was,13.54%,had,12.91%,would,6.71%
left,to,10.23%,the,6.82%,them,6.82%
last,night,9.17%,he,7.5%,the,5.83%
first,time,9.09%,day,5.3%,and,3.79%
at,the,27.43%,night,7.5%,a,6.08%
will,be,22.56%,not,6.71%,they,3.66%
his,head,2.75%,hands,2.75%,eyes,2.69%
own,the,5.05%,in,3.03%,way,3.03%
up,and,16.42%,the,11.32%,in,8.11%
tell,him,20.25%,you,16.46%,them,8.86%
him,and,13.69%,to,6.76%,a,4.79%
which,the,13.07%,he,9.3%,was,8.79%
he,had,15.73%,was,14.19%,would,7.9%
did,not,62.41%,it,4.83%,you,3.79%
not,a,4.1%,be,3.48%,have,3.18%
then,he,15.64%,the,7.33%,there,5.21%
stood,in,10.28%,there,9.35%,and,7.48%
even,the,11.26%,if,10.6%,a,6.62%
new,york,5.3%,and,5.3%,hands,3.03%
each,other,25.69%,of,9.03%,one,6.25%
side,of,48.08%,and,21.15%,street,9.62%
street,and,15.12%,he,6.98%,to,4.65%
for,the,17.15%,a,11.63%,him,4.94%
half,a,26.42%,an,12.74%,of,6.13%
this,was,10.38%,time,7.39%,the,2.83%
before,the,17.7%,he,16.37%,him,7.52%
door,and,14.29%,of,7.14%,he,5.36%
started,to,18.18%,away,10.39%,toward,7.79%
away,and,17.61%,from,10.23%,in,6.82%
you,would,4.47%,could,3.73%,might,3.43%
could,not,29.28%,be,6.41%,get,4.93%
hear,it,17.65%,the,13.73%,him,7.84%
two,or,5.45%,hundred,4.73%,dollars,4.73%
other,side,3.27%,and,2.91%,way,2.18%
from,the,30.69%,a,6.14%,his,4.6%
once,more,17.74%,or,10.48%,in,6.45%
turned,to,16.83%,out,13.86%,and,12.87%
made,a,12.4%,the,8.0%,up,5.6%
like,a,32.31%,the,11.15%,to,4.23%
union,and,7.55%,headquarters,5.66%,leaders,5.66%
who,had,20.46%,was,13.32%,were,4.83%
perhaps,it,13.11%,the,8.2%,not,6.56%
has,been,16.67%,to,7.14%,a,5.95%
never,be,7.77%,a,5.18%,been,3.63%
much,as,11.86%,for,5.93%,to,5.93%
far,off,18.84%,as,13.04%,away,8.7%
off,the,18.07%,and,8.43%,his,8.43%
be,a,6.44%,done,2.27%,able,1.89%
place,where,10.55%,and,9.38%,for,7.42%
room,where,9.68%,and,7.74%,for,6.45%
saloon,keeper,20.69%,keepers,13.79%,and,12.07%
part,of,69.01%,in,8.45%,and,2.82%
chicago,and,19.7%,with,6.06%,the,6.06%
as,he,12.27%,the,8.36%,a,7.6%
back,to,21.93%,and,11.76%,of,5.35%
yards,and,20.27%,in,8.11%,to,4.05%
is,a,10.59%,the,10.1%,no,5.17%
