word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,him,3.21%,and,2.2%,up,1.69%
and,him,2.25%,it,2.14%,up,1.22%
was,it,23.63%,he,16.42%,there,13.31%
four,or,17.57%,the,6.76%,at,5.41%
when,and,17.95%,time,3.55%,then,2.3%
the,of,12.21%,in,9.35%,and,5.88%
over,all,9.71%,was,7.28%,and,2.91%
began,he,23.47%,and,20.41%,they,7.14%
to,had,3.24%,have,2.03%,him,1.91%
there,and,11.59%,that,4.0%,then,3.28%
had,he,25.68%,they,12.59%,who,5.23%
been,had,66.55%,have,10.44%,not,4.25%
a,was,9.48%,in,5.9%,of,5.46%
all,and,7.82%,of,6.28%,was,4.94%
way,the,35.33%,his,7.78%,that,5.99%
of,out,4.54%,one,3.46%,part,1.12%
upon,down,3.27%,out,3.02%,and,1.76%
it,of,7.18%,that,4.86%,and,4.16%
her,in,6.45%,of,6.32%,with,5.81%
see,to,45.92%,could,10.71%,and,8.67%
that,and,4.2%,him,2.59%,so,2.43%
things,these,20.61%,such,11.45%,of,9.16%
went,he,34.36%,they,11.45%,and,10.57%
in,and,2.69%,was,2.69%,him,1.84%
after,and,13.91%,hour,4.35%,day,4.35%
home,came,9.33%,at,8.0%,come,8.0%
every,and,8.4%,in,4.62%,for,4.2%
one,no,5.95%,any,5.69%,some,5.29%
out,went,5.24%,set,3.97%,get,2.83%
day,all,19.64%,a,15.36%,the,9.29%
with,him,2.63%,and,2.55%,up,2.24%
voice,the,23.88%,a,19.4%,his,16.42%
too,was,20.65%,then,5.16%,were,4.52%
others,the,17.74%,of,17.74%,were,8.06%
them,of,19.5%,to,5.84%,for,4.51%
she,and,7.82%,that,7.82%,as,4.04%
left,had,16.48%,and,12.09%,he,7.69%
last,at,37.4%,the,30.89%,his,6.5%
first,the,44.19%,at,8.53%,had,6.2%
at,and,3.03%,stared,2.15%,look,1.77%
will,it,14.2%,they,8.02%,i,6.17%
his,of,11.84%,in,8.73%,and,6.34%
own,his,38.78%,its,14.29%,their,13.27%
matter,the,52.46%,a,9.84%,no,8.2%
up,it,3.73%,got,3.17%,made,2.61%
tell,to,27.16%,could,13.58%,not,9.88%
him,to,11.57%,for,5.74%,of,4.48%
which,in,10.65%,of,5.33%,to,3.15%
he,that,8.42%,and,7.71%,when,4.39%
did,he,22.85%,they,14.23%,and,5.99%
not,did,18.51%,could,18.2%,was,13.19%
then,and,55.11%,but,5.57%,just,1.7%
stood,he,27.27%,they,14.77%,had,9.09%
even,not,19.21%,and,11.26%,or,3.97%
down,sat,6.37%,and,5.39%,went,4.9%
new,a,24.24%,the,18.94%,his,4.55%
each,at,7.04%,in,7.04%,and,6.34%
side,one,20.75%,other,16.98%,each,13.21%
street,the,62.5%,a,8.75%,side,6.25%
for,and,1.93%,pay,1.72%,him,1.57%
half,a,11.9%,and,9.52%,was,5.71%
this,of,10.94%,all,6.09%,in,6.09%
before,hour,5.11%,and,3.83%,him,2.98%
door,the,68.1%,a,6.03%,next,5.17%
started,and,28.36%,he,16.42%,had,10.45%
away,go,7.3%,him,4.49%,started,4.49%
you,do,6.75%,if,3.75%,that,3.45%
could,he,32.33%,they,14.84%,you,4.42%
hear,to,32.69%,could,21.15%,not,7.69%
two,or,18.18%,the,10.55%,for,6.18%
other,the,56.63%,each,13.26%,any,3.94%
from,away,4.43%,come,2.22%,and,2.22%
once,at,22.76%,had,6.5%,and,4.07%
turned,he,25.81%,and,11.83%,had,9.68%
made,had,12.24%,and,12.24%,they,8.16%
like,was,9.34%,him,3.5%,looked,3.11%
union,the,44.64%,a,7.14%,his,7.14%
who,man,11.21%,men,8.74%,those,7.85%
perhaps,and,15.62%,but,6.25%,or,6.25%
has,he,16.44%,she,12.33%,that,9.59%
never,had,23.04%,would,9.95%,could,7.85%
much,as,21.85%,how,16.81%,too,14.29%
far,so,18.84%,the,14.49%,a,10.14%
off,far,7.74%,him,3.57%,took,3.57%
be,to,37.12%,would,23.62%,could,4.88%
place,the,27.38%,a,19.77%,no,7.98%
room,the,39.74%,a,8.97%,next,4.49%
saloon,the,45.0%,a,33.33%,this,3.33%
part,most,9.86%,a,8.45%,good,8.45%
chicago,in,36.76%,of,19.12%,to,10.29%
as,and,5.41%,was,2.81%,such,2.38%
back,came,10.7%,come,8.56%,went,8.56%
yards,the,91.89%,hundred,4.05%,coal,1.35%
is,it,20.61%,there,14.25%,he,5.34%
but,it,2.93%,him,2.79%,all,2.53%
how,and,15.03%,it,3.47%,know,3.47%
would,he,22.98%,they,14.17%,it,8.63%
have,would,25.09%,to,11.71%,might,6.88%
seemed,it,50.68%,have,6.85%,there,5.48%
also,and,23.3%,was,4.85%,is,3.88%
hour,an,50.0%,every,11.82%,the,10.91%
life,his,32.59%,of,11.85%,for,7.41%
little,a,31.19%,the,9.83%,of,4.75%
ona,and,16.08%,for,6.53%,of,5.53%
through,been,3.85%,went,3.85%,in,3.08%
look,to,41.79%,and,8.96%,would,5.97%
eyes,his,39.82%,her,15.04%,the,7.08%
face,his,33.65%,her,12.5%,the,11.54%
white,and,9.62%,turned,9.62%,snow,7.69%
were,they,23.3%,there,19.45%,who,2.53%
five,twenty,14.42%,seventy,7.69%,or,5.77%
hands,his,38.33%,her,18.33%,their,9.17%
about,all,3.36%,think,2.58%,was,2.07%
together,teeth,7.41%,them,5.56%,get,5.56%
almost,was,25.4%,and,9.52%,it,3.17%
great,a,37.59%,the,28.57%,so,3.76%
so,and,29.16%,was,8.87%,be,1.74%
young,the,29.17%,a,13.89%,and,9.72%
quite,was,33.9%,were,11.86%,not,6.78%
just,was,14.52%,had,8.06%,for,4.84%
men,the,31.04%,of,10.15%,and,3.58%
black,and,8.57%,a,8.57%,the,8.57%
while,and,9.63%,a,8.15%,it,4.44%
they,and,7.87%,that,7.46%,as,3.76%
those,of,25.68%,with,6.76%,to,6.76%
take,to,44.76%,would,16.19%,and,9.52%
hundred,a,42.31%,three,15.38%,two,12.5%
beef,the,36.54%,of,11.54%,a,7.69%
into,out,5.04%,him,3.12%,it,2.88%
without,do,4.35%,and,4.35%,on,3.48%
or,two,3.62%,once,3.14%,three,2.9%
thought,he,10.34%,the,10.34%,i,8.05%
