word type,number
everything,148605
adult,2
hate,0
function,89261
normal,number
the,8935
and,7281
of,4367
to,4190
a,4159
he,3309
was,3055
in,2513
it,2303
had,2234
that,1871
his,1674
they,1470
for,1415
with,1308
would,1199
him,1184
were,995
there,986
all,982
not,981
as,943
at,800
be,800
she,794
her,775
but,768
one,763
them,754
out,715
you,688
then,654
this,643
so,643
on,637
could,610
by,605
been,566
have,540
up,536
who,518
no,492
their,491
when,488
i,485
man,463
an,436
into,418
or,418
is,416
which,415
from,409
upon,402
about,393
said,367
time,358
if,347
came,341
what,336
men,335
now,325
work,316
some,308
little,296
did,295
more,288
day,280
other,279
get,279
do,278
went,275
two,275
again,271
place,263
like,261
only,261
come,256
made,254
where,249
go,240
every,239
after,236
before,235
home,229
might,222
half,212
night,210
here,210
himself,209
over,207
down,204
long,204
any,202
ona,200
got,200
see,199
never,193
these,192
back,188
old,183
how,179
away,178
are,171
off,168
way,167
too,164
will,164
me,163
another,162
house,162
money,160
room,158
dollars,157
even,152
people,152
its,150
make,149
three,147
than,145
each,144
very,143
good,142
such,141
know,139
life,137
while,135
great,134
first,132
new,132
things,131
through,131
nothing,130
put,130
saw,127
just,126
because,126
until,125
once,124
family,124
pay,124
last,123
thing,123
hands,121
told,121
same,120
much,119
eyes,118
children,118
door,116
without,116
your,115
morning,113
yet,112
began,111
hour,110
took,110
face,109
city,109
take,108
stood,107
also,106
end,106
five,105
hundred,104
knew,104
turned,102
still,102
big,102
world,101
own,99
well,98
found,96
can,95
thought,93
set,93
say,93
enough,93
floor,92
ever,92
we,92
left,91
few,91
sat,91
women,90
being,90
head,89
many,89
hand,89
gave,89
street,88
job,88
asked,87
whole,86
keep,86
my,85
has,84
however,84
help,84
should,84
nearly,83
worked,83
tell,82
suddenly,82
rest,82
must,82
done,81
think,80
poor,80
gone,80
cold,79
most,79
country,79
find,79
heard,79
week,79
why,78
started,77
those,75
working,75
always,75
thousand,75
four,74
yards,74
days,74
ten,74
course,74
seemed,73
anything,73
paid,73
young,72
next,72
going,72
part,71
black,70
full,70
yes,70
voice,69
far,69
taken,69
chicago,68
look,68
give,68
packers,68
feet,67
year,67
called,67
years,65
cried,65
perhaps,64
something,64
woman,64
almost,63
arm,63
others,62
corner,62
right,62
don't,62
chance,62
matter,61
quite,61
hard,61
arms,61
lost,61
twenty,61
saloon,60
run,58
whom,58
business,58
boss,58
under,57
cattle,57
union,56
cents,56
try,56
party,56
soul,55
drink,55
wild,55
together,54
open,54
finally,54
themselves,54
let,54
meant,54
word,54
lived,54
side,53
hear,53
snow,53
later,53
since,53
stand,53
kept,53
tried,53
white,52
beef,52
against,52
making,52
hours,52
houses,52
able,52
till,52
meat,51
fell,51
soon,51
food,51
lay,51
brought,50
i'm,50
it's,50
heart,49
rooms,49
really,49
given,49
cut,49
answered,49
fellow,49
police,49
herself,48
looked,48
sort,48
mind,48
understand,47
blood,47
several,47
live,47
better,47
death,47
best,46
between,46
six,46
labor,46
sometimes,46
boy,46
girl,46
known,45
light,45
save,45
policeman,45
dollar,45
story,45
winter,45
crowd,44
free,44
hold,44
toward,44
packing,44
everything,44
else,44
want,44
explained,44
human,44
sir,44
meantime,43
coming,43
child,43
evening,43
behind,43
killing,43
red,43
power,43
water,43
dozen,43
outside,43
stopped,43
o'clock,42
friends,42
places,42
along,42
company,42
longer,42
late,42
sure,42
wanted,42
use,42
sent,42
our,42
i've,42
stockyards,41
round,41
cry,41
used,41
trying,41
moment,41
though,41
walk,41
jail,41
car,40
begin,40
turn,40
getting,40
caught,40
fertilizer,40
agony,40
often,39
eat,39
waiting,39
friend,39
dead,39
machine,39
whose,38
second,38
strike,38
spent,38
words,38
fifteen,38
month,38
streets,38
opened,38
having,37
speak,37
may,37
read,37
person,37
beginning,37
learned,37
among,37
sight,37
times,37
cars,37
sleep,37
felt,37
already,36
ran,36
fire,36
bad,36
less,36
wages,36
mean,36
us,36
agent,36
met,36
looking,36
walked,36
can't,36
fact,35
america,35
wife,35
master,35
terror,35
dark,35
baby,35
ole,35
hall,34
district,34
near,34
girls,34
start,34
name,34
minutes,34
seized,34
wonderful,34
passed,34
fear,34
building,34
front,34
hot,34
bed,34
cent,34
ground,33
within,33
alone,33
thirty,33
leave,33
seen,33
certain,33
trust,33
socialist,33
bank,33
chapter,32
above,32
hardly,32
except,32
ought,32
foot,31
table,31
shall,31
tears,31
stop,31
ask,31
god,31
demanded,31
task,30
least,30
kitchen,30
office,30
gotten,30
running,30
months,30
become,30
seven,30
sit,30
besides,30
law,30
lose,30
happened,30
sold,30
cost,30
railroad,30
lie,30
hogs,30
crowded,30
living,30
workers,30
i'll,30
quarter,29
break,29
breath,29
stay,29
simply,29
latter,29
around,29
cruel,29
fight,29
bought,29
newspapers,29
hope,29
talk,29
answer,28
minute,28
love,28
scarcely,28
father,28
wait,28
single,28
price,28
nor,28
thousands,28
meeting,28
despair,28
doctor,28
seeing,27
held,27
fifty,27
beneath,27
beer,27
air,27
beds,27
factory,27
change,27
idea,27
strange,27
past,27
sick,27
doors,27
whether,27
rent,27
ago,27
earth,27
line,27
broken,27
summer,27
government,27
vote,27
didn't,27
hic,27
added,26
sound,26
green,26
staring,26
pain,26
hungry,26
present,26
case,26
watching,26
state,26
hundreds,26
horrible,26
fighting,26
believe,26
stared,26
became,26
rain,26
buy,26
reason,26
shook,26
fingers,26
fair,25
high,25
eight,25
saloons,25
fall,25
station,25
trouble,25
ready,25
tightly,25
top,25
twice,25
weeks,25
share,25
either,25
bill,25
saying,25
clothes,25
filled,25
lard,25
huge,25
rushed,25
closed,25
spoke,25
bring,25
alive,25
warm,25
struggle,25
die,25
wonder,24
paper,24
chair,24
million,24
afternoon,24
mill,24
body,24
pale,24
followed,24
worse,24
means,24
strong,24
talked,24
class,24
kind,24
system,24
hunger,24
music,23
married,23
care,23
platform,23
call,23
true,23
standing,23
itself,23
begun,23
expected,23
hell,23
twelve,23
keeper,23
silence,23
brown's,23
farmer,23
realize,23
need,23
thoughts,23
show,23
hog,23
instant,23
papers,23
pieces,23
bread,23
couldn't,23
broke,23
society,23
what's,23
cell,23
blue,22
listen,22
feel,22
whenever,22
cans,22
maybe,22
different,22
