word type,number
everything,44448
adult,0
hate,1
function,22107
normal,number
the,4020
of,1926
to,1352
and,1103
in,1102
a,745
u,573
is,564
de,492
was,467
that,415
it,403
by,374
i,361
this,360
they,357
as,355
from,292
ti,265
or,264
which,261
ca,260
were,230
tu,219
at,216
n,216
be,215
for,207
on,204
with,200
not,200
pech,198
v,181
he,180
maya,178
their,177
y,173
have,171
first,167
one,158
are,156
p,150
year,149
but,147
que,147
when,145
his,142
these,139
la,137
katun,130
who,126
en,125
name,124
came,120
lai,117
an,114
years,111
also,108
we,105
no,100
yucatan,100
them,100
los,99
there,96
ah,95
here,95
all,94
town,92
spaniards,91
been,88
time,88
had,88
called,87
should,84
land,84
given,77
then,76
place,71
don,70
el,69
has,66
my,65
its,64
word,64
other,62
may,62
great,60
can,60
two,60
second,60
those,59
will,58
ancient,56
means,56
thus,55
men,55
day,55
read,55
so,54
merida,54
tn,53
found,53
names,52
ix,52
towns,51
out,50
our,49
etc,49
tun,49
said,48
order,48
words,47
some,47
four,47
made,46
province,46
arrived,46
went,46
las,45
see,44
ii,44
what,44
score,44
juan,43
number,42
used,42
three,42
chief,42
lay,42
se,42
mexico,41
father,41
hab,41
city,41
fut,41
form,40
would,40
than,40
any,40
hun,40
translation,39
iii,39
under,39
where,39
cap,39
family,38
god,38
took,38
por,38
language,37
days,37
about,37
many,37
each,37
cu,37
king,37
aor,37
book,36
probably,36
present,36
meaning,36
third,36
tan,36
into,35
lord,35
adv,35
native,34
fourth,34
him,34
before,34
very,34
stone,34
after,34
kan,34
mani,34
ms,34
lib,34
thirteenth,34
text,33
among,33
natives,33
nor,33
give,33
another,33
because,33
te,33
adelantado,33
iv,32
such,32
west,32
country,32
haab,32
tribute,32
know,31
date,31
spanish,31
well,31
us,31
bin,31
mentioned,31
only,30
chen,30
ten,30
history,30
district,30
do,30
most,30
dr,30
yan,30
last,30
su,30
began,30
end,29
conquest,29
did,29
mayas,29
account,29
being,29
both,29
yum,29
ho,29
people,29
much,28
up,28
kin,28
verb,28
hence,28
house,28
francisco,28
ma,28
sixth,28
eleventh,28
use,27
find,27
page,27
ruler,27
eighth,27
same,26
while,26
applied,26
east,26
ox,26
come,26
taken,26
del,26
adj,26
work,25
together,25
books,25
manuscripts,25
different,25
therefore,25
does,25
con,25
bishop,25
american,24
war,24
coast,24
take,24
water,24
more,24
known,24
ruled,24
pp,24
fr,24
fifth,24
following,23
volume,23
if,23
man,23
chronicle,23
written,23
chiefs,23
go,23
above,23
am,23
thirteen,23
para,23
priest,23
various,22
now,22
count,22
correct,22
north,22
passed,22
vi,22
sus,22
macan,22
upon,21
make,21
system,21
set,21
appears,21
referred,21
twenty,21
literally,21
month,21
ninth,21
seventh,21
noh,21
chronicles,20
original,20
numeral,20
term,20
even,20
say,20
part,20
settled,20
village,20
lum,20
nahuatl,20
translated,20
lo,20
houses,20
general,20
reference,20
tenth,20
destroyed,20
christianity,20
pablo,20
cen,20
whose,19
far,19
notes,19
south,19
old,19
shall,19
phrase,19
explained,19
large,19
beginning,19
vii,19
cat,19
error,18
how,18
peninsula,18
could,18
either,18
priests,18
might,18
according,18
says,18
aztec,18
head,18
five,18
died,18
le,18
established,18
received,18
tal,18
d,17
tribes,17
think,17
period,17
line,17
san,17
later,17
expression,17
foreigners,17
particle,17
six,17
writers,17
possession,17
son,17
bay,17
captains,17
series,16
few,16
learned,16
put,16
calendar,16
themselves,16
although,16
sense,16
common,16
over,16
without,16
counted,16
back,16
pop,16
s,16
governor,16
refers,15
published,15
long,15
forms,15
dictionaries,15
hand,15
between,15
latter,15
doubt,15
gives,15
fact,15
compound,15
toward,15
important,15
sun,15
english,15
sign,15
however,15
again,15
seen,15
yet,15
close,15
padre,15
xi,15
section,15
x,15
ich,15
fortress,15
note,14
must,14
me,14
quite,14
proper,14
century,14
others,14
seems,14
suppose,14
writer,14
several,14
founded,14
true,14
merely,14
paragraph,14
already,14
around,14
division,14
early,14
still,14
al,14
ended,14
twelfth,14
sisal,14
lords,14
forth,14
origin,13
