word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,10.9%,they,3.37%,that,3.07%
the,first,3.17%,spaniards,2.26%,maya,2.18%
a,town,1.96%,few,1.54%,second,1.54%
of,the,45.07%,a,3.77%,these,2.83%
have,been,19.16%,not,5.39%,given,4.19%
been,made,5.81%,the,4.65%,called,4.65%
in,the,34.99%,this,7.29%,order,3.59%
this,land,11.17%,is,10.61%,year,6.15%
they,were,15.69%,came,8.96%,are,5.32%
with,the,34.76%,a,9.63%,their,3.74%
which,is,13.31%,i,9.27%,was,7.26%
to,the,15.68%,be,6.68%,this,2.8%
found,in,28.85%,towns,13.46%,among,5.77%
at,the,35.0%,that,8.75%,mani,5.62%
one,of,22.54%,year,9.15%,who,4.23%
that,the,16.54%,they,7.63%,it,6.62%
was,the,10.67%,a,7.78%,taken,3.33%
is,the,10.72%,a,8.13%,not,4.99%
also,the,10.68%,in,8.74%,a,4.85%
for,the,25.68%,this,7.65%,a,4.37%
not,in,4.04%,to,3.54%,know,3.03%
be,a,4.93%,found,4.43%,the,3.94%
by,the,46.56%,a,2.95%,an,1.97%
maya,and,7.63%,family,5.34%,men,4.58%
from,the,46.79%,a,4.59%,which,2.75%
has,been,26.15%,no,7.69%,not,6.15%
their,names,5.14%,houses,4.0%,leader,2.86%
first,year,8.16%,came,6.12%,time,4.76%
these,were,11.94%,provinces,4.48%,books,3.73%
or,in,3.72%,the,2.79%,of,2.33%
great,lord,10.34%,king,8.62%,cycles,6.9%
all,the,25.81%,that,5.38%,my,4.3%
who,was,10.4%,were,7.2%,came,6.4%
its,own,4.76%,inhabitants,3.17%,course,3.17%
are,the,5.26%,in,3.95%,given,3.95%
as,the,14.83%,a,12.3%,it,6.94%
my,father,18.46%,collection,7.69%,purpose,6.15%
i,have,18.79%,am,6.69%,was,4.78%
it,is,28.39%,was,14.07%,will,4.09%
an,error,5.5%,important,4.59%,abundance,3.67%
should,read,57.14%,be,22.62%,probably,4.76%
will,be,40.35%,not,7.02%,of,7.02%
two,score,16.07%,to,5.36%,dots,5.36%
year,of,14.95%,was,13.08%,in,10.28%
his,father,3.68%,grammar,2.94%,own,2.94%
name,of,28.7%,was,9.26%,is,8.33%
time,of,13.92%,and,7.59%,they,7.59%
ancient,maya,7.41%,history,5.56%,city,5.56%
v,to,64.88%,aor,19.64%,the,4.76%
were,the,8.37%,called,4.85%,not,4.41%
there,is,21.74%,was,19.57%,were,8.7%
when,the,31.65%,they,27.34%,he,5.04%
he,was,12.14%,who,5.78%,had,5.2%
came,to,31.09%,from,19.33%,here,13.45%
land,of,19.48%,and,11.69%,the,6.49%
called,the,25.42%,by,10.17%,in,5.08%
yucatan,and,16.46%,in,8.86%,was,6.33%
no,doubt,10.47%,such,5.81%,one,5.81%
on,the,47.96%,account,9.69%,that,6.12%
them,and,12.63%,the,6.32%,in,5.26%
had,been,13.79%,passed,6.9%,a,4.6%
men,of,26.92%,and,11.54%,in,5.77%
those,of,30.51%,who,23.73%,i,5.08%
we,have,14.56%,find,7.77%,may,7.77%
other,words,11.29%,hand,4.84%,tongues,3.23%
but,i,8.45%,a,7.75%,the,7.75%
de,la,24.32%,los,11.35%,las,10.27%
so,that,13.21%,far,13.21%,called,9.43%
may,be,38.98%,have,8.47%,also,3.39%
given,to,16.44%,in,13.7%,by,9.59%
don,juan,32.26%,francisco,17.74%,pablo,14.52%
means,the,25.0%,a,16.07%,to,14.29%
y,que,14.67%,de,9.33%,en,6.67%
place,the,19.35%,in,11.29%,of,9.68%
spaniards,came,11.63%,first,5.81%,and,5.81%
then,they,12.0%,the,6.67%,we,5.33%
years,and,17.71%,they,7.29%,was,6.25%
town,of,28.17%,in,5.63%,and,5.63%
en,la,24.62%,el,20.0%,su,9.23%
here,in,32.56%,to,25.58%,referred,3.49%
u,than,16.22%,chi,6.76%,chun,5.41%
pech,and,8.67%,of,8.0%,in,5.33%
ca,noh,17.81%,tu,13.7%,u,13.7%
tu,kin,23.53%,tan,9.8%,kal,5.88%
que,se,26.15%,en,10.77%,los,9.23%
katun,the,9.28%,in,7.22%,was,5.15%
ti,lakin,10.99%,lum,10.99%,u,7.69%
n,a,33.33%,the,16.67%,from,4.76%
lai,u,44.83%,hab,17.24%,tun,6.9%
