word type,number
everything,35119
adult,0
hate,0
function,20003
normal,number
the,2027
of,1117
and,1096
to,1074
a,815
in,580
i,553
he,459
that,440
was,438
candide,404
with,355
is,341
his,334
you,333
said,319
it,306
they,276
not,266
at,261
have,255
for,254
had,231
my,229
this,227
as,224
all,215
him,201
but,197
be,191
who,191
me,170
by,163
which,158
on,152
what,152
were,147
are,147
one,143
their,137
them,130
we,127
two,125
martin,118
there,116
an,108
from,108
her,108
been,103
she,100
very,100
pangloss,99
old,94
so,94
more,92
will,88
us,86
upon,85
man,81
how,79
no,79
would,78
than,78
your,78
has,72
when,72
good,72
great,69
made,69
or,68
do,68
well,67
am,66
if,64
woman,62
after,59
see,58
some,58
only,57
our,57
little,56
out,56
could,55
other,54
world,53
then,53
most,50
into,49
those,48
should,48
did,48
where,47
answered,47
up,46
these,46
country,46
thousand,46
know,45
day,45
never,44
miss,44
shall,44
must,42
saw,42
three,41
men,41
nothing,40
master,40
such,39
took,38
gave,38
p,38
may,37
dear,37
let,37
first,37
without,36
here,35
much,34
best,33
yet,33
hundred,33
go,33
any,33
can,33
baron,33
while,33
same,33
people,32
being,32
found,31
again,31
himself,31
time,31
another,31
sheep,31
having,30
father,30
captain,30
things,29
make,29
still,29
each,29
always,29
take,29
now,28
long,28
young,28
beautiful,28
went,28
give,28
king,28
myself,28
six,27
venice,27
few,27
nor,27
abbé,27
house,26
voltaire,25
going,25
come,25
away,25
ten,25
whom,25
whole,25
replied,25
sir,25
over,25
jesuit,25
every,24
soon,24
seen,24
whether,24
put,24
about,23
against,23
came,23
like,23
down,23
eyes,23
oh,23
god,23
part,23
pleasure,23
find,22
ever,22
length,22
end,22
love,22
asked,22
cried,22
tears,22
many,21
among,21
left,21
received,21
castle,21
friar,21
heard,21
themselves,21
money,21
others,21
thou,21
set,21
days,20
last,20
bulgarians,20
say,20
near,20
happened,20
twenty,20
mother,20
possible,19
way,19
before,19
brought,19
inquisitor,19
el,19
dorado,19
sister,19
lost,19
thus,19
also,19
four,19
once,19
believe,19
word,19
hanged,19
new,18
women,18
own,18
war,18
right,18
honest,18
lady,18
cannot,18
friend,18
alas,18
ah,18
born,17
think,17
eat,17
hand,17
france,17
killed,17
through,17
tell,17
table,17
yes,17
everything,17
vessel,17
told,17
diamonds,17
looked,16
both,16
care,16
brother,16
supper,16
thing,16
though,16
philosopher,16
met,16
spoke,16
kings,16
company,16
off,16
sometimes,16
reverend,16
since,15
place,15
half,15
why,15
girls,15
sea,15
lord,15
able,15
back,15
feet,15
ask,15
neither,15
heart,15
longer,15
manner,15
sent,15
ready,15
board,15
taken,15
however,15
years,14
five,14
voyage,14
buenos,14
ayres,14
between,14
french,14
inn,14
became,14
whipped,14
arrived,14
strangers,14
constantinople,14
true,14
even,14
seeing,14
thirty,14
times,14
ship,14
indeed,14
kill,14
immediately,14
gold,14
wish,14
piastres,14
its,13
does,13
words,13
carry,13
just,13
poor,13
because,13
enough,13
page,13
called,13
valet,13
might,13
next,13
passed,13
ladies,13
pay,13
carried,13
dead,13
bulgarian,13
earth,13
doubt,13
head,13
perhaps,13
life,13
better,13
drew,13
under,13
entered,13
worth,13
galley,13
name,13
books,12
high,12
family,12
prince,12
jew,12
adventures,12
travellers,12
pococurante,12
nature,12
marry,12
therefore,12
towards,12
fell,12
large,12
town,12
honour,12
get,12
necessary,12
answer,12
scarcely,12
sat,12
speak,12
red,12
surprised,12
governor,12
y,12
fifty,11
whose,11
anabaptist,11
da,11
grand,11
monkeys,11
thunder,11
reason,11
rest,11
person,11
cause,11
door,11
less,11
already,11
wife,11
public,11
least,11
ordered,11
ugly,11
kingdom,11
commandant,11
dutch,11
skipper,11
paris,11
dethroned,11
please,10
worlds,10
far,10
got,10
pope,10
italy,10
too,10
magnificent,10
doctor,10
james,10
westphalia,10
baron's,10
village,10
dinner,10
behind,10
return,10
fine,10
run,10
moment,10
death,10
arms,10
become,10
die,10
cut,10
served,10
marchioness,10
knew,10
lisbon,10
misfortunes,10
general,10
sight,10
st,10
small,10
sold,10
don,10
palace,10
horses,10
deal,10
german,10
officer,10
carnival,10
modern,9
cadiz,9
filled,9
except,9
until,9
pity,9
almost,9
happy,9
known,9
present,9
hope,9
history,9
continued,9
surinam,9
age,9
pretty,9
gentlemen,9
following,9
several,9
during,9
children,9
bad,9
number,9
state,9
saying,9
night,9
surprise,9
issachar,9
truth,9
waiting,9
excellent,9
slaves,9
imagine,9
christian,9
europe,9
fifteen,9
leave,9
embraced,9
majesty,9
evil,9
birds,8
wanted,8
negro,8
order,8
according,8
done,8
months,8
happiness,8
afterwards,8
fair,8
coast,8
england,8
soul,8
greatest,8
natural,8
wished,8
often,8
neighbouring,8
dying,8
dressed,8
making,8
fortune,8
fire,8
side,8
reached,8
presented,8
terrible,8
strange,8
given,8
work,8
ran,8
short,8
seized,8
air,8
noise,8
portugal,8
held,8
conduct,8
handsome,8
along,8
died,8
kind,8
emperor,8
language,8
fear,8
spanish,8
taste,8
bordeaux,8
book,7
written,7
paraguay,7
optimism,7
learned,7
especially,7
misery,7
account,7
dishes,7
daughter,7
conducted,7
wit,7
century,7
either,7
hold,7
loved,7
jesuits,7
noble,7
servants,7
son,7
castles,7
listened,7
extremely,7
second,7
fourth,7
