word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,him,3.16%,candide,2.53%,followed,1.9%
in,was,2.3%,candide,2.13%,him,1.42%
the,of,12.64%,in,6.82%,to,5.22%
and,candide,5.18%,men,0.98%,world,0.78%
at,arrived,3.92%,and,3.14%,looked,3.14%
have,i,28.69%,you,9.16%,to,7.57%
been,have,35.29%,had,24.51%,has,10.78%
for,is,4.03%,as,2.42%,waiting,2.42%
a,of,7.55%,was,5.82%,in,4.83%
see,to,35.09%,you,17.54%,i,15.79%
of,one,3.17%,and,1.72%,out,1.63%
candide,said,22.56%,to,5.26%,and,4.76%
will,i,20.93%,you,12.79%,they,9.3%
be,to,40.31%,will,7.33%,should,5.76%
to,me,2.09%,going,1.9%,candide,1.71%
is,it,27.63%,there,7.21%,he,6.61%
great,a,24.64%,the,23.19%,with,13.04%
one,no,4.96%,and,4.26%,is,3.55%
that,and,5.85%,all,3.28%,of,2.81%
has,it,11.59%,who,11.59%,he,8.7%
made,he,10.14%,was,7.25%,have,7.25%
he,that,10.69%,said,10.02%,and,4.45%
an,of,10.28%,in,7.48%,with,6.54%
this,in,11.06%,of,9.22%,at,5.53%
all,of,10.8%,at,6.57%,with,6.1%
world,the,56.6%,this,15.09%,whole,3.77%
it,of,5.0%,that,5.0%,is,4.33%
or,five,9.52%,two,3.17%,one,3.17%
not,did,12.08%,was,10.19%,do,9.43%
old,the,74.47%,an,6.38%,good,4.26%
how,and,16.88%,i,3.9%,but,3.9%
would,he,22.08%,you,11.69%,they,7.79%
if,and,9.84%,that,4.92%,for,4.92%
had,he,19.64%,who,10.27%,i,8.48%
than,more,12.82%,less,6.41%,better,5.13%
other,the,51.85%,no,11.11%,each,7.41%
some,in,10.34%,for,8.62%,with,3.45%
which,of,8.39%,after,4.52%,that,3.87%
from,and,3.85%,away,2.88%,it,2.88%
when,and,5.71%,him,4.29%,but,4.29%
martin,said,27.35%,and,21.37%,to,6.84%
were,they,24.29%,there,5.71%,and,5.0%
we,and,9.52%,if,4.76%,shall,3.97%
their,of,15.33%,in,11.68%,and,6.57%
with,them,2.82%,filled,1.97%,candide,1.97%
pangloss,said,11.58%,master,10.53%,doctor,6.32%
so,and,8.51%,was,7.45%,with,5.32%
more,once,7.61%,no,6.52%,a,4.35%
his,of,10.64%,in,6.38%,to,4.86%
upon,looked,3.61%,touched,2.41%,that,2.41%
us,let,29.07%,of,5.81%,with,3.49%
little,a,57.14%,the,5.36%,this,5.36%
out,set,14.29%,little,3.57%,broke,3.57%
could,he,16.67%,they,9.26%,how,7.41%
after,but,6.9%,that,5.17%,days,5.17%
them,of,10.85%,to,10.08%,for,3.88%
they,that,7.27%,as,6.55%,which,5.09%
but,candide,4.26%,him,2.66%,it,2.13%
as,soon,4.98%,well,4.98%,such,2.71%
her,to,8.41%,of,6.54%,with,4.67%
she,that,6.12%,said,6.12%,as,4.08%
was,i,13.29%,it,10.63%,he,10.14%
do,we,13.24%,you,13.24%,i,13.24%
there,that,8.04%,and,5.36%,candide,4.46%
no,is,14.1%,had,7.69%,you,5.13%
on,him,2.7%,it,2.7%,candide,2.03%
what,and,9.52%,of,4.76%,in,3.4%
only,have,8.77%,is,7.02%,the,7.02%
who,and,4.47%,man,4.47%,candide,3.91%
two,the,20.0%,these,6.4%,those,4.8%
are,you,14.58%,there,13.19%,they,12.5%
i,and,6.44%,that,5.3%,but,3.6%
said,alas,3.51%,sir,2.56%,well,2.56%
him,to,14.43%,gave,4.98%,with,4.98%
woman,old,91.94%,good,3.23%,trembling,1.61%
good,a,18.06%,the,18.06%,very,6.94%
my,of,9.29%,for,4.87%,that,3.98%
well,as,16.42%,very,8.96%,is,5.97%
very,a,24.0%,was,9.0%,the,7.0%
you,do,4.91%,if,4.6%,that,3.68%
me,to,12.94%,gave,4.71%,for,2.94%
your,of,11.69%,in,10.39%,to,5.19%
man,a,16.05%,old,16.05%,this,11.11%
am,i,92.42%,and,3.03%,now,1.52%
our,of,12.28%,all,7.02%,to,5.26%
