word type,number
everything,913580
adult,39
hate,0
function,486667
normal,number
the,29972
and,28358
i,21958
to,20943
of,18695
a,16218
you,14367
my,13187
in,12156
that,11782
is,9690
not,9045
with,8478
me,8261
for,8182
it,8169
his,7580
be,7360
this,7129
your,7067
he,6806
but,6747
have,6265
as,6166
thou,5840
him,5533
so,5460
will,5282
what,4750
her,4589
thy,4359
all,4224
by,4081
no,4069
do,3895
shall,3842
if,3780
are,3703
we,3542
thee,3384
on,3332
our,3291
lord,3163
now,3013
sir,2992
good,2983
king,2944
from,2889
at,2743
o,2717
she,2713
they,2709
or,2646
come,2636
which,2561
more,2495
would,2481
then,2476
enter,2464
was,2429
well,2388
their,2375
love,2322
how,2309
am,2295
here,2264
let,2232
when,2220
them,2108
hath,2057
like,2025
one,1965
than,1960
man,1948
there,1941
an,1877
upon,1846
may,1796
make,1787
did,1782
say,1773
go,1769
yet,1754
know,1751
us,1744
were,1714
should,1701
must,1638
had,1556
why,1554
see,1542
such,1536
tis,1512
out,1506
some,1445
give,1418
these,1412
first,1371
where,1364
who,1360
too,1346
can,1324
take,1287
mine,1265
most,1239
scene,1216
speak,1192
up,1176
time,1153
never,1146
tell,1124
duke,1099
much,1098
heart,1092
doth,1081
nor,1057
think,1056
queen,1000
art,986
great,978
th,950
lady,945
death,944
men,941
before,941
life,936
hand,917
made,911
away,909
hear,907
day,893
father,882
true,875
look,867
sweet,864
very,851
fair,848
thus,843
cannot,820
own,809
god,809
eyes,805
again,805
master,802
night,801
ay,784
pray,784
prince,777
two,773
i'll,767
any,758
being,752
old,748
been,733
blood,718
son,714
other,709
done,709
leave,707
both,706
name,699
whose,696
gloucester,691
till,690
though,688
poor,688
honour,683
world,682
could,682
down,680
nothing,677
fear,677
into,677
noble,673
ever,673
heaven,666
therefore,657
comes,650
still,645
house,639
even,636
better,631
way,623
against,622
hast,617
many,615
those,612
second,608
henry,605
nay,603
stand,599
grace,598
dead,598
falstaff,592
myself,589
exeunt,585
call,584
gentleman,584
brother,582
part,575
bear,567
head,564
might,556
live,555
peace,554
daughter,544
find,543
john,537
little,531
place,526
madam,525
long,524
france,523
put,522
off,522
every,521
wife,521
another,519
word,518
die,515
none,514
caesar,509
antony,508
eye,508
keep,506
hold,503
friend,502
richard,501
set,501
thine,500
friends,500
gone,495
best,491
lords,491
face,488
since,488
young,488
bring,486
brutus,485
york,484
servant,481
himself,478
dear,471
mistress,471
fool,469
unto,468
full,466
whom,463
exit,460
soul,458
once,457
hamlet,456
after,452
show,451
has,451
words,450
else,448
stay,448
indeed,448
dost,447
within,445
tongue,442
act,435
page,433
boy,430
about,428
faith,423
three,419
please,414
said,410
thought,409
forth,408
gentle,402
without,400
ere,399
makes,399
answer,395
thing,389
hope,384
mind,382
right,382
rest,381
hence,380
heard,380
marry,377
welcome,376
woman,375
nature,372
farewell,370
matter,368
came,366
cause,364
back,363
sword,363
gods,361
mother,359
same,357
end,357
things,357
home,357
clown,355
bid,354
iago,354
shame,352
use,350
messenger,350
thousand,349
fortune,345
power,344
truth,343
rome,343
does,340
fall,339
lie,339
ye,339
hands,338
state,337
rather,337
help,336
bed,334
only,331
wilt,331
enough,331
earth,330
meet,329
false,328
tears,327
get,326
light,323
news,323
fellow,323
othello,322
shalt,320
under,320
sure,320
follow,319
fire,318
edward,318
play,317
hour,314
through,313
far,312
