word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,king,2.57%,world,1.53%,duke,1.26%
of,the,9.06%,my,4.28%,his,3.58%
william,william,10.84%,shakespeare,8.43%,stafford,7.23%
by,the,14.49%,my,6.97%,this,5.15%
well,i,6.84%,and,3.89%,as,3.32%
that,i,8.59%,you,3.83%,he,3.0%
ends,of,9.62%,well,7.69%,all,5.77%
antony,and,7.16%,i,5.05%,antony,3.16%
and,the,3.2%,i,2.98%,so,1.63%
cleopatra,i,7.44%,o,5.79%,and,3.72%
as,i,9.52%,the,4.93%,you,4.63%
you,are,5.47%,have,4.93%,shall,3.23%
like,a,29.09%,the,8.88%,to,7.92%
it,is,14.29%,be,3.56%,was,3.2%
hamlet,i,8.29%,why,4.03%,o,3.79%
prince,of,13.15%,and,7.67%,john,5.48%
first,lord,10.71%,gentleman,6.69%,citizen,4.79%
part,of,35.39%,i,7.08%,and,5.26%
king,henry,14.67%,richard,9.84%,and,5.94%
henry,the,10.1%,and,5.75%,i,4.18%
fourth,citizen,37.25%,lord,7.84%,the,5.88%
second,lord,16.25%,gentleman,13.4%,citizen,6.87%
life,and,9.91%,i,4.44%,is,4.1%
third,citizen,14.67%,servant,11.2%,gentleman,8.88%
john,falstaff,8.4%,of,5.8%,i,5.4%
caesar,and,8.06%,i,5.99%,what,2.89%
lost,the,6.81%,his,5.73%,a,5.38%
macbeth,i,5.2%,and,4.0%,macbeth,4.0%
measure,of,13.54%,to,6.25%,in,5.21%
for,the,7.04%,a,4.82%,my,4.49%
merchant,of,13.79%,and,6.9%,i,5.17%
venice,a,24.66%,and,5.48%,if,4.11%
merry,and,5.17%,as,3.45%,i,2.87%
wives,and,21.67%,of,6.67%,are,5.0%
a,man,3.01%,good,1.49%,little,1.27%
dream,of,12.9%,on,9.68%,or,4.84%
much,as,8.11%,more,4.98%,to,4.88%
about,the,16.95%,it,6.92%,to,6.68%
nothing,but,19.1%,else,4.81%,of,3.88%
othello,i,10.0%,what,6.0%,o,5.67%
moor,and,6.49%,is,5.19%,i,3.9%
pericles,i,10.65%,a,3.55%,thou,2.96%
richard,and,6.51%,the,3.25%,i,3.25%
romeo,i,6.2%,and,5.11%,romeo,4.74%
juliet,i,8.79%,o,7.14%,and,6.04%
tempest,of,19.61%,and,5.88%,is,3.92%
timon,i,6.0%,timon,5.0%,and,4.33%
athens,a,8.64%,enter,7.41%,and,3.7%
troilus,i,7.14%,and,5.88%,o,5.46%
cressida,o,6.02%,and,3.61%,what,3.61%
night,and,8.11%,to,4.52%,i,3.86%
or,else,5.62%,i,3.14%,a,2.79%
what,is,7.72%,i,5.61%,a,4.01%
will,not,10.58%,be,6.68%,you,5.14%
two,of,5.02%,and,3.39%,hours,3.12%
gentlemen,of,6.9%,i,4.93%,and,4.93%
noble,lord,9.08%,and,3.08%,duke,2.59%
tale,of,8.18%,and,7.27%,to,5.45%
from,the,17.64%,my,5.58%,me,5.12%
we,have,9.22%,are,8.58%,will,7.8%
desire,to,17.97%,you,8.2%,the,5.47%
rose,and,13.58%,in,4.94%,of,4.94%
might,have,14.96%,be,10.4%,not,3.83%
never,saw,3.84%,did,3.47%,be,3.09%
die,and,5.88%,in,5.88%,for,5.46%
but,i,6.1%,a,3.47%,that,3.26%
should,be,17.26%,have,7.12%,not,5.81%
time,to,9.02%,and,6.38%,of,6.11%
his,own,2.23%,head,1.33%,son,1.05%
tender,of,5.62%,to,4.38%,it,2.5%
heir,of,20.91%,to,18.18%,and,9.09%
bear,the,8.41%,it,6.62%,me,5.55%
memory,of,14.55%,and,7.27%,my,5.45%
thou,art,12.07%,hast,7.93%,shalt,5.16%
to,the,7.55%,be,5.13%,my,2.49%
