word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
of,out,2.74%,duke,1.73%,full,1.29%
william,sir,23.33%,william,10.0%,and,5.56%
by,and,6.08%,but,2.34%,now,1.82%
the,in,6.52%,of,5.62%,to,5.37%
that,and,2.85%,he,2.14%,of,1.99%
ends,that,11.11%,fingers,7.41%,our,5.56%
well,as,5.63%,you,5.22%,not,3.25%
antony,mark,9.01%,enter,5.24%,antony,3.14%
and,me,1.32%,him,1.14%,you,1.09%
cleopatra,madam,7.17%,enter,5.49%,caesar,3.38%
as,and,3.03%,is,1.93%,me,1.81%
you,if,4.05%,that,3.12%,to,2.86%
like,and,3.82%,the,3.19%,not,3.14%
it,of,4.34%,is,3.33%,if,2.9%
hamlet,lord,18.96%,hamlet,3.79%,you,2.61%
prince,the,19.78%,a,5.01%,young,2.71%
first,the,11.55%,at,2.97%,you,2.65%
part,another,13.02%,my,8.32%,own,5.06%
king,the,26.68%,a,4.77%,enter,2.47%
henry,king,68.68%,prince,5.19%,of,2.01%
fourth,the,43.4%,a,3.77%,it,3.77%
second,the,5.98%,a,5.27%,him,2.28%
life,my,27.19%,of,8.1%,thy,7.55%
third,the,21.6%,a,8.0%,him,2.0%
john,sir,32.02%,king,22.85%,don,11.42%
caesar,of,5.82%,to,5.6%,enter,3.02%
lear,enter,4.76%,sir,3.81%,king,2.86%
macbeth,lady,28.12%,enter,5.86%,macbeth,3.91%
measure,the,14.43%,a,11.34%,for,4.12%
for,and,2.69%,not,2.29%,me,2.21%
merchant,the,18.97%,a,13.79%,it,6.9%
venice,of,32.47%,in,14.29%,i,10.39%
merry,be,20.45%,a,18.18%,the,5.68%
wives,their,16.39%,your,14.75%,our,13.11%
a,with,4.07%,is,3.9%,of,3.88%
much,so,24.14%,too,12.21%,as,9.71%
about,go,5.34%,round,4.33%,him,2.54%
nothing,is,5.3%,and,4.05%,for,4.05%
othello,lord,9.0%,enter,4.84%,you,2.77%
moor,the,63.53%,noble,4.71%,a,4.71%
pericles,enter,5.45%,king,4.24%,prince,3.64%
richard,king,56.24%,to,2.86%,sir,2.45%
romeo,romeo,4.69%,enter,3.97%,to,3.25%
juliet,enter,5.75%,and,4.02%,love,2.87%
tempest,the,19.23%,a,15.38%,this,13.46%
timon,lord,10.37%,timon,5.02%,enter,3.34%
athens,of,27.38%,to,13.1%,in,10.71%
troilus,enter,4.7%,brother,3.42%,lord,3.42%
cressida,troilus,3.77%,it,3.77%,and,3.14%
night,good,13.98%,the,13.34%,this,8.51%
or,three,1.11%,me,0.99%,you,0.99%
what,and,4.07%,not,2.69%,but,2.62%
will,i,31.46%,we,5.22%,you,5.03%
two,the,8.28%,or,6.51%,and,5.16%
gentlemen,two,7.08%,and,7.08%,you,4.25%
noble,my,12.27%,a,11.2%,the,10.89%
we,that,6.06%,shall,4.96%,and,3.69%
desire,i,10.34%,do,5.36%,you,4.21%
might,i,18.93%,you,8.09%,he,6.62%
never,i,13.59%,and,6.97%,shall,5.16%
die,to,16.67%,and,9.64%,must,7.43%
but,is,2.31%,nothing,1.93%,all,1.7%
should,i,17.19%,you,7.84%,he,5.63%
time,the,17.77%,a,5.22%,this,5.04%
his,of,8.75%,in,7.46%,and,5.15%
tender,the,10.62%,i,7.5%,and,6.25%
heir,an,12.04%,the,12.04%,and,11.11%
bear,to,15.76%,i,7.25%,and,4.89%
memory,my,15.0%,of,11.67%,his,10.0%
thou,if,6.68%,that,4.71%,art,4.31%
to,me,2.42%,and,2.02%,you,1.83%
thine,of,15.83%,in,8.33%,is,6.25%
own,mine,25.51%,his,20.71%,your,16.04%
bright,so,10.64%,the,6.38%,more,4.26%
eyes,mine,15.54%,his,7.84%,her,7.04%
with,and,3.47%,me,2.19%,go,1.91%
self,my,14.09%,thy,9.55%,the,6.36%
making,in,5.75%,by,5.75%,for,4.6%
where,and,2.48%,me,2.48%,you,2.08%
lies,he,7.75%,it,6.59%,there,6.59%
thy,of,6.45%,in,6.24%,to,4.1%
foe,the,17.14%,a,12.86%,his,8.57%
sweet,my,6.53%,the,5.05%,a,4.06%
too,is,6.9%,are,4.55%,and,1.8%
cruel,a,8.45%,the,7.04%,too,5.63%
art,thou,60.94%,what,4.69%,and,1.67%
now,how,10.67%,and,6.45%,but,3.4%
only,not,7.12%,but,6.19%,the,5.88%
herald,a,19.35%,the,11.29%,french,4.84%
spring,the,37.33%,thy,4.0%,tender,4.0%
within,is,2.51%,not,2.51%,noise,2.26%
content,be,15.85%,am,11.59%,you,6.71%
in,and,3.51%,room,1.77%,me,1.76%
pity,of,6.06%,tis,5.63%,and,4.76%
world,the,65.72%,this,6.86%,th,4.17%
else,or,32.28%,nothing,7.0%,what,4.29%
this,of,7.89%,in,6.82%,to,3.83%
be,to,14.75%,shall,8.05%,will,4.89%
eat,to,14.48%,and,10.34%,i,6.9%
grave,the,14.06%,his,13.02%,my,10.94%
thee,to,7.03%,with,4.29%,for,3.53%
shall,you,11.88%,i,11.16%,he,5.22%
brow,the,11.11%,his,9.88%,my,8.64%
deep,the,15.03%,as,6.94%,so,5.2%
so,and,8.47%,not,5.88%,be,4.75%
on,come,2.87%,and,2.71%,look,2.32%
small,a,12.24%,the,6.12%,of,5.1%
worth,not,11.52%,the,6.91%,his,5.53%
held,is,7.78%,he,7.78%,and,6.67%
then,and,11.84%,why,5.96%,nay,1.86%
being,and,7.09%,which,3.89%,for,3.2%
all,and,9.0%,of,8.53%,with,4.76%
beauty,her,9.24%,thy,8.03%,of,6.43%
treasure,the,24.19%,his,8.06%,this,4.84%
days,two,7.58%,three,7.11%,the,6.16%
say,i,19.13%,to,10.92%,they,7.16%
were,you,9.82%,it,9.28%,i,8.02%
an,with,4.57%,like,4.35%,is,4.29%
shame,for,14.2%,my,6.67%,a,5.22%
praise,the,5.32%,i,5.32%,of,4.79%
how,and,3.57%,me,3.17%,see,3.03%
more,no,22.96%,the,3.83%,once,3.26%
if,as,4.1%,and,3.53%,but,3.5%
answer,to,12.63%,your,5.26%,will,5.0%
fair,a,6.94%,the,5.24%,so,4.14%
child,a,18.43%,the,13.33%,my,11.76%
mine,of,14.92%,in,4.67%,and,4.43%
sum,the,39.66%,a,5.17%,thy,3.45%
my,of,6.08%,in,4.39%,to,4.06%
count,the,31.78%,i,5.61%,we,2.8%
make,to,22.6%,and,10.05%,will,5.87%
old,an,12.98%,the,12.02%,my,4.23%
excuse,to,11.9%,no,7.14%,must,5.95%
new,a,12.46%,the,7.12%,his,4.63%
made,have,10.31%,hath,9.19%,and,6.5%
when,and,8.06%,but,3.46%,me,1.99%
see,to,19.77%,i,15.75%,you,7.5%
blood,the,9.72%,of,8.56%,my,7.55%
cold,a,7.42%,and,6.55%,is,6.11%
glass,a,16.67%,the,12.82%,my,10.26%
tell,to,9.93%,i,9.74%,and,8.79%
face,his,16.26%,thy,12.31%,my,10.77%
is,it,11.89%,he,7.09%,this,5.4%
form,the,12.5%,a,7.69%,his,6.73%
another,one,7.76%,such,5.71%,of,3.27%
whose,to,2.42%,in,2.27%,by,2.27%
