word type,number
everything,397617
adult,16
hate,19
function,221175
normal,number
the,21922
of,14567
to,13372
and,13264
in,8339
a,8057
was,6777
he,6543
his,5199
that,4844
i,4167
for,3734
had,3428
as,3349
with,2896
from,2673
it,2569
be,2477
this,2451
not,2419
her,2402
on,2395
by,2313
but,2116
him,2066
she,1984
at,1962
they,1949
is,1848
were,1844
you,1798
have,1763
been,1614
one,1550
them,1515
or,1462
their,1456
would,1419
all,1355
my,1348
who,1322
which,1308
so,1140
man,1128
no,1117
me,1075
will,1030
very,1022
time,1003
years,991
if,990
about,980
slave,928
an,926
we,882
could,861
slavery,847
when,824
two,767
well,744
said,731
master,721
out,717
more,706
mr,706
any,705
are,702
some,695
wife,693
there,673
has,663
made,644
than,628
after,614
before,611
john,605
your,600
good,585
such,583
being,581
do,575
may,569
slaves,563
william,556
much,555
under,551
up,550
freedom,549
age,534
did,528
these,523
other,521
left,507
road,497
only,497
our,491
letter,490
way,483
three,483
upon,481
where,480
great,478
children,477
what,474
friend,473
day,464
canada,458
men,456
twenty,455
committee,452
here,449
still,437
old,431
friends,429
most,422
free,421
can,421
now,418
henry,414
then,412
underground,407
how,407
many,403
philadelphia,400
himself,396
young,394
place,394
name,394
also,389
came,388
colored,386
found,385
while,384
rail,381
having,380
life,379
never,379
house,378
am,378
into,377
get,377
last,367
arrival,366
state,363
same,363
should,359
little,356
see,354
mother,352
escape,351
make,351
first,350
might,349
five,348
give,340
however,335
work,331
without,331
new,330
know,327
own,325
go,325
take,324
its,323
james,322
family,314
through,311
long,311
soon,311
woman,310
dollars,307
few,306
over,306
mrs,305
whom,303
city,301
away,301
mistress,299
thought,298
those,295
county,293
thus,289
come,287
took,286
hard,283
every,282
ever,281
received,276
shall,273
maryland,273
cause,272
thomas,272
sold,270
off,269
four,267
must,263
hope,261
people,261
felt,260
taken,260
mind,253
others,252
say,252
owned,250
white,249
too,248
like,247
just,247
back,246
night,244
write,244
dear,243
anti,240
poor,238
hands,237
hand,237
quite,237
days,236
fugitive,236
case,236
us,234
hundred,231
again,230
find,230
send,230
father,227
kind,226
brown,224
richmond,224
george,223
nothing,223
dark,221
wm,220
money,220
think,220
fugitives,219
south,219
part,219
following,219
leave,218
arrived,218
right,218
went,218
since,216
charles,215
until,211
brother,211
gave,211
told,208
against,207
another,206
known,205
even,205
please,205
sent,203
down,202
death,201
near,201
called,200
enough,199
year,198
god,198
north,198
baltimore,198
above,197
looking,195
both,195
hear,194
home,193
yet,192
got,192
six,191
course,191
let,190
living,189
brought,189
dr,187
