word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,28.87%,a,6.39%,his,4.17%
and,the,4.78%,a,2.46%,was,2.14%
the,same,1.63%,committee,1.47%,underground,1.46%
underground,rail,88.86%,railroad,7.43%,railway,0.99%
rail,road,100.0%
road,and,7.61%,in,4.53%,he,4.12%
a,man,3.38%,very,2.9%,few,2.54%
record,book,26.58%,of,24.05%,in,5.06%
of,the,23.09%,his,5.87%,a,4.4%
facts,and,12.2%,in,10.98%,as,9.76%
letters,from,17.28%,to,8.64%,of,8.64%
c,miller,8.66%,in,6.3%,c,6.3%
death,of,18.69%,and,6.06%,but,3.54%
slaves,and,7.75%,were,5.23%,in,5.05%
in,the,26.52%,a,5.23%,this,4.85%
their,way,3.51%,own,2.27%,masters,2.0%
efforts,to,23.68%,for,10.53%,in,10.53%
for,the,19.54%,a,7.41%,his,4.02%
freedom,and,13.89%,in,6.48%,he,6.48%
as,a,11.06%,he,7.2%,the,6.66%
themselves,and,13.95%,of,9.3%,to,9.3%
others,to,6.4%,were,5.6%,who,5.2%
or,the,3.18%,two,3.04%,three,2.76%
together,with,29.41%,and,8.82%,from,6.86%
with,the,16.85%,a,10.33%,his,5.51%
some,of,22.14%,time,6.22%,one,3.62%
most,of,6.92%,likely,2.63%,remarkable,2.15%
william,still,14.32%,and,8.63%,was,7.16%
still,i,14.68%,dear,9.45%,in,6.47%
many,of,11.66%,years,10.42%,others,7.69%
years,of,48.17%,old,6.71%,ago,3.66%
anti,slavery,98.74%,caste,0.42%,rum,0.42%
slavery,and,8.8%,in,5.59%,society,5.47%
office,in,9.49%,and,9.49%,of,6.57%
philadelphia,and,10.71%,the,3.83%,on,3.06%
committee,in,8.13%,and,4.97%,was,4.97%
shall,be,25.27%,not,8.42%,have,5.13%
not,to,5.14%,be,4.39%,only,3.44%
his,wife,6.22%,master,5.5%,own,2.68%
master,and,12.25%,was,10.56%,had,4.51%
servant,was,8.62%,with,6.9%,and,6.9%
that,he,18.22%,the,8.13%,i,6.48%
has,been,25.91%,a,6.1%,not,4.73%
escaped,from,33.52%,and,6.82%,the,5.11%
from,the,20.52%,a,4.84%,his,4.65%
fine,looking,10.94%,you,6.25%,specimen,6.25%
life,and,7.92%,of,7.65%,in,6.33%
sold,to,10.31%,south,6.49%,and,5.34%
only,a,8.5%,to,4.25%,twenty,4.25%
chestnut,color,91.78%,street,4.11%,streets,2.74%
street,and,11.76%,where,7.06%,i,4.71%
entered,on,26.32%,the,17.54%,into,14.04%
according,to,100.0%
to,the,10.82%,be,6.46%,his,2.44%
act,of,36.11%,in,7.41%,as,6.48%
at,the,30.45%,this,5.08%,least,4.97%
washington,and,11.21%,city,7.48%,to,4.67%
w,still,11.67%,johnson,6.67%,i,5.0%
like,to,16.8%,a,14.34%,the,10.25%
my,wife,6.21%,dear,4.62%,master,3.26%
race,and,12.75%,in,4.9%,of,4.9%
mother,and,20.64%,was,6.4%,of,5.23%
father,and,19.46%,of,6.33%,was,6.33%
were,not,3.71%,in,3.05%,the,2.62%
born,in,32.26%,on,9.68%,a,9.68%
but,the,7.02%,i,6.44%,he,5.87%
live,in,17.82%,with,15.84%,and,9.9%
die,in,21.13%,rather,5.63%,a,5.63%
so,much,7.6%,that,7.16%,he,3.98%
himself,in,10.66%,and,8.63%,to,6.6%
early,in,10.53%,life,5.26%,manhood,3.95%
