word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,owned,7.27%,and,1.97%,man,1.75%
the,of,15.15%,in,9.9%,to,6.59%
underground,the,77.92%,an,4.96%,in,1.49%
rail,underground,94.23%,the,2.36%,by,1.31%
road,rail,77.13%,the,15.38%,this,1.01%
a,of,7.94%,was,7.26%,in,5.37%
record,the,35.8%,a,12.35%,to,7.41%
of,years,3.31%,one,3.2%,out,1.65%
facts,the,44.58%,these,10.84%,of,6.02%
letters,the,7.55%,his,7.55%,interesting,6.29%
c,joseph,9.93%,c,5.67%,yours,4.96%
and,wife,1.38%,him,1.04%,you,0.83%
death,the,18.18%,his,14.14%,to,11.11%
slaves,the,21.51%,of,14.34%,his,7.53%
in,and,2.79%,was,1.8%,him,1.33%
their,of,15.69%,in,6.81%,to,6.74%
efforts,his,18.18%,their,15.58%,the,11.69%
for,and,1.61%,him,1.45%,but,1.31%
freedom,of,28.23%,for,13.3%,his,11.66%
as,well,3.17%,soon,2.87%,and,2.84%
themselves,for,11.45%,of,9.92%,availed,3.82%
others,and,17.46%,many,12.3%,of,10.71%
or,two,2.9%,service,2.55%,one,1.84%
together,journeyed,2.94%,all,2.94%,heads,1.96%
with,and,1.83%,them,1.51%,man,1.3%
some,of,7.87%,for,7.58%,in,6.56%
most,the,42.86%,a,10.71%,and,4.29%
william,of,8.06%,and,6.61%,mr,4.13%
still,william,15.67%,mr,13.59%,wm,12.9%
many,so,8.46%,for,7.96%,as,6.22%
years,three,9.57%,two,9.46%,five,9.25%
anti,the,41.42%,of,5.86%,pennsylvania,5.44%
slavery,anti,27.93%,of,25.44%,in,8.88%
office,slavery,23.53%,the,13.97%,post,11.03%
philadelphia,in,35.26%,to,17.63%,of,11.59%
committee,the,69.91%,vigilance,21.24%,acting,2.65%
shall,i,23.33%,we,9.26%,he,5.93%
not,was,14.45%,did,10.71%,could,8.51%
his,of,16.18%,in,6.72%,to,6.23%
master,his,39.8%,the,9.5%,her,6.15%
servant,fellow,23.33%,the,15.0%,a,10.0%
that,and,3.87%,said,2.49%,of,1.93%
has,he,18.1%,she,9.05%,it,5.3%
escaped,he,20.34%,had,14.69%,they,5.65%
from,arrival,7.29%,letter,3.57%,fled,3.34%
thee,to,8.0%,if,5.0%,wrote,4.0%
life,his,23.47%,of,6.93%,slave,6.93%
sold,been,28.46%,be,20.97%,being,10.49%
only,not,16.73%,was,10.89%,the,10.48%
street,the,17.07%,fifth,8.54%,arch,4.88%
entered,was,15.79%,he,10.53%,had,5.26%
according,freedom,4.11%,that,2.74%,them,2.74%
to,him,1.73%,them,1.23%,and,1.13%
act,this,25.0%,the,23.21%,to,14.29%
year,a,24.49%,the,23.98%,one,8.16%
at,and,3.92%,was,2.46%,more,1.78%
washington,from,22.3%,in,15.11%,to,8.63%
illustration,again,5.13%,an,3.85%,him,3.85%
w,mr,25.71%,john,15.71%,george,8.57%
my,of,10.79%,to,7.4%,in,5.55%
race,the,16.98%,his,10.38%,colored,7.55%
mother,his,24.93%,the,14.61%,and,8.88%
father,his,27.93%,the,13.06%,my,10.81%
were,they,20.43%,who,4.9%,and,2.86%
born,was,55.0%,were,10.0%,free,8.33%
but,him,2.37%,them,1.35%,man,0.97%
live,to,36.63%,i,7.92%,not,6.93%
die,to,30.99%,or,16.9%,and,8.45%
so,was,5.94%,and,4.08%,been,2.66%
himself,for,10.89%,of,6.33%,found,5.32%
early,an,16.22%,the,13.51%,in,6.76%
hard,very,21.0%,a,9.61%,of,4.63%
saw,i,23.97%,he,17.81%,and,8.22%
no,had,10.56%,was,6.56%,have,3.64%
way,the,27.54%,his,14.08%,their,10.56%
herself,of,9.89%,for,8.79%,find,5.49%
children,and,19.49%,her,11.23%,two,9.75%
escape,to,37.68%,his,19.42%,the,8.99%
bondage,in,37.59%,of,23.4%,his,8.51%
