word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.69%,a,7.62%,his,3.37%
and,the,6.54%,i,2.44%,a,2.04%
or,the,4.52%,a,3.76%,two,2.81%
a,little,2.36%,man,1.98%,few,1.51%
captain,hull,9.17%,of,5.95%,and,4.94%
at,the,28.13%,last,4.25%,all,4.11%
in,the,27.83%,a,8.02%,his,4.9%
of,the,24.54%,a,4.79%,his,4.07%
the,same,1.12%,first,0.88%,other,0.82%
is,a,7.95%,the,7.43%,not,5.21%
de,la,11.52%,mauves,8.15%,saint,7.57%
this,is,5.52%,was,3.7%,time,3.01%
was,a,7.79%,the,5.05%,not,4.25%
first,time,6.08%,to,3.11%,of,2.49%
many,of,9.31%,a,6.44%,years,5.89%
times,and,7.52%,in,4.76%,the,3.88%
different,from,11.15%,parts,2.61%,and,2.17%
from,the,31.93%,his,5.2%,a,4.06%
that,he,7.49%,the,7.47%,i,5.8%
who,had,13.24%,was,9.23%,is,3.81%
book,and,9.62%,of,7.63%,in,3.3%
low,voice,8.3%,and,6.89%,tone,4.38%
london,and,9.08%,the,5.38%,to,3.91%
american,coast,3.75%,and,3.35%,slavery,3.16%
were,not,3.5%,the,3.33%,in,2.62%
often,the,2.86%,as,2.86%,in,2.13%
free,and,8.66%,from,8.52%,to,5.24%
english,and,5.29%,in,1.62%,language,1.56%
eight,years,10.01%,or,6.74%,hundred,6.36%
hundred,and,20.4%,thousand,8.57%,dollars,6.32%
on,the,35.84%,his,5.86%,a,4.93%
twenty,five,9.76%,years,9.52%,four,7.54%
thousand,dollars,5.54%,times,5.45%,pounds,5.36%
under,the,41.78%,his,6.43%,a,6.19%
sea,and,9.86%,the,4.46%,lady,4.18%
island,of,13.21%,and,8.6%,the,3.82%
world,and,8.04%,of,5.41%,to,3.64%
days,of,9.56%,and,9.23%,in,4.19%
company,of,8.89%,and,8.49%,with,8.29%
street,and,9.16%,the,4.35%,to,3.0%
new,york,11.62%,and,3.0%,england,2.85%
york,and,10.68%,i,3.68%,the,3.68%
chapter,i,4.47%,iii,4.23%,ii,4.19%
i,am,7.07%,have,6.96%,was,5.08%
whale,and,5.36%,boat,4.53%,is,4.12%
sight,of,44.68%,and,4.76%,the,3.04%
four,years,7.57%,or,4.57%,hours,4.29%
which,he,8.6%,the,7.11%,was,5.85%
follow,the,14.47%,me,9.76%,him,9.42%
land,of,12.27%,and,12.12%,the,3.88%
best,of,10.68%,to,7.62%,and,3.87%
to,the,11.78%,be,6.57%,me,1.89%
do,you,17.44%,not,15.49%,it,5.0%
way,to,11.69%,of,9.11%,and,6.21%
miles,from,16.15%,to,5.94%,and,5.86%
ten,minutes,11.58%,years,10.05%,thousand,10.05%
terrible,and,3.31%,to,2.65%,thing,2.18%
slave,holders,5.08%,and,4.57%,of,2.93%
bad,as,5.77%,luck,3.05%,enough,2.94%
their,own,3.18%,way,1.37%,hands,1.26%
some,of,10.45%,time,4.07%,one,3.49%
great,deal,4.36%,and,2.01%,a,1.31%
day,and,9.0%,of,4.93%,the,4.62%
king,of,8.86%,henry,8.76%,and,7.43%
news,of,18.96%,that,5.38%,from,4.92%
where,the,15.3%,he,10.93%,they,6.15%
may,be,26.13%,have,5.68%,not,4.39%
south,sea,9.02%,wales,7.33%,and,5.91%
out,of,30.71%,the,5.2%,and,5.16%
for,the,16.72%,a,9.48%,his,2.79%
rich,and,15.22%,in,5.17%,man,3.04%
ship,and,9.07%,in,3.32%,the,3.1%
had,been,14.23%,a,4.28%,not,4.28%
several,times,12.66%,of,7.29%,days,5.05%
years,of,16.56%,ago,9.36%,and,6.36%
