word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.2%,him,1.22%,it,0.87%
or,two,1.89%,one,1.25%,three,0.99%
a,of,6.56%,in,6.13%,with,5.4%
captain,the,27.02%,of,3.95%,a,2.96%
at,and,2.65%,looked,2.54%,look,2.13%
note,a,16.32%,the,10.07%,to,3.71%
the,of,12.68%,in,8.02%,to,5.45%
of,out,2.49%,one,2.27%,part,0.86%
was,it,16.32%,he,11.99%,i,6.17%
first,the,44.21%,at,9.29%,his,2.51%
many,so,14.77%,of,5.5%,how,5.37%
times,at,11.59%,several,9.82%,three,8.46%
in,and,2.5%,was,1.77%,him,1.16%
is,it,19.86%,there,6.06%,he,6.06%
different,a,15.28%,the,9.72%,very,9.03%
from,away,2.52%,and,1.93%,him,1.54%
that,and,4.03%,of,2.69%,in,1.84%
book,the,21.23%,a,14.36%,this,6.0%
for,and,1.65%,him,1.34%,it,1.32%
low,a,30.66%,the,9.69%,and,5.97%
london,in,25.05%,of,14.66%,to,12.87%
boy,the,19.81%,a,15.15%,little,6.15%
were,they,16.46%,there,6.09%,we,4.62%
often,so,7.92%,is,5.62%,and,5.58%
free,the,10.08%,a,9.81%,be,8.17%
and,him,1.25%,it,1.07%,up,0.76%
english,the,32.86%,an,8.16%,in,5.67%
eight,or,7.61%,at,6.88%,of,5.23%
hundred,a,29.43%,two,12.74%,one,12.59%
on,went,2.29%,and,1.9%,go,1.54%
twenty,and,13.69%,of,8.65%,about,7.79%
thousand,a,30.37%,hundred,9.92%,ten,8.49%
under,and,3.57%,from,3.19%,was,1.64%
sea,the,52.55%,at,4.89%,to,4.4%
island,the,47.61%,an,7.05%,lincoln,6.78%
world,the,65.88%,this,5.51%,a,4.03%
days,few,9.25%,three,8.54%,the,7.98%
company,the,25.8%,in,9.57%,his,5.57%
new,a,20.56%,the,18.35%,of,6.23%
york,new,54.1%,of,13.2%,and,1.04%
i,and,5.9%,that,5.1%,but,3.13%
chapter,him,1.34%,it,1.22%,contents,1.06%
whale,the,35.39%,a,11.77%,sperm,11.77%
sight,the,22.56%,of,12.04%,in,11.94%
four,the,10.27%,or,9.51%,twenty,6.51%
which,in,7.36%,of,6.09%,to,2.86%
follow,to,36.16%,will,6.08%,and,4.06%
land,the,30.24%,this,6.22%,of,5.67%
best,the,49.41%,my,4.58%,his,4.36%
to,him,1.35%,me,1.2%,seemed,1.18%
do,to,20.12%,i,14.89%,you,5.73%
way,the,23.71%,his,7.06%,this,5.38%
miles,hundred,10.17%,five,7.01%,three,6.24%
ten,of,6.65%,for,4.79%,about,4.53%
terrible,a,21.53%,the,16.15%,and,7.27%
word,a,28.43%,the,21.04%,my,5.31%
slave,the,31.72%,a,22.83%,fugitive,5.06%
bad,a,18.07%,very,6.93%,so,6.93%
their,of,13.14%,in,9.24%,to,5.34%
some,of,6.32%,for,5.99%,in,5.67%
great,a,26.18%,the,21.99%,with,5.0%
day,the,16.83%,to,7.85%,one,7.3%
king,the,37.05%,a,4.85%,of,2.61%
news,the,29.55%,what,8.09%,good,5.45%
where,place,3.72%,and,3.63%,room,2.08%
may,you,11.68%,i,10.37%,it,10.29%
this,of,10.26%,in,8.52%,to,3.76%
out,went,2.71%,it,2.59%,came,2.07%
rich,the,13.19%,a,13.0%,very,4.58%
ship,the,43.53%,a,12.6%,his,4.44%
who,those,5.85%,man,5.55%,and,3.58%
had,he,18.51%,she,8.78%,i,8.02%
several,for,10.98%,and,6.1%,of,5.42%
years,many,7.54%,two,7.08%,three,6.6%
it,of,4.01%,that,3.65%,and,2.66%
one,no,5.14%,the,3.69%,in,3.5%
but,it,2.0%,him,1.64%,nothing,1.47%
each,of,7.36%,to,7.27%,at,6.24%
not,did,10.67%,was,7.99%,could,7.91%
only,the,10.64%,not,8.35%,was,7.01%
beyond,and,4.5%,far,3.63%,was,2.76%
as,and,3.51%,soon,1.96%,just,1.88%
far,so,21.69%,as,13.03%,the,3.89%
also,was,8.03%,and,7.22%,is,5.45%
she,that,7.42%,and,5.36%,as,5.06%
manner,the,13.58%,a,9.42%,his,5.62%
her,of,8.57%,to,7.12%,in,5.78%
very,a,15.87%,the,11.49%,was,7.34%
with,and,2.82%,him,1.59%,it,1.28%
few,a,71.71%,the,4.05%,very,3.37%
men,the,13.11%,of,9.47%,young,4.11%
