word type,number
everything,8929564
adult,1140
hate,957
function,5003225
normal,number
the,525352
and,306124
of,277561
to,243938
a,199302
in,153223
i,128309
that,110847
he,109147
was,107246
it,100540
his,88512
with,75728
you,74034
for,68865
as,67954
had,63397
is,62487
her,59223
not,57706
but,54218
at,54128
on,52914
she,50830
be,50386
my,47569
him,44812
by,43365
have,43241
this,42956
all,41283
they,39218
me,37466
from,36751
so,36411
which,34081
were,32952
said,32517
one,31104
or,28789
no,28197
there,26638
an,26246
what,26017
would,25622
if,25457
we,25369
when,24989
their,24960
are,24800
them,24346
who,23160
out,22440
been,22428
will,22082
up,21509
then,20945
your,20637
do,19919
could,18075
more,17891
now,17841
very,16434
into,16381
man,16337
some,16086
time,16008
like,15113
little,14960
about,14506
did,14272
than,13583
upon,13543
well,13461
good,13123
has,12764
our,12685
any,12667
only,12453
know,12449
see,12438
mr,12270
old,12119
how,12057
come,11795
before,11693
two,11664
down,11615
over,11557
made,11477
after,11397
such,11385
other,11234
its,11197
go,10888
these,10825
must,10546
never,10493
first,10454
here,10396
great,10310
should,10198
much,10189
us,10144
day,10105
can,9916
am,9869
where,9733
shall,9487
again,9436
came,9421
way,9342
may,9301
say,9208
most,8899
back,8818
long,8815
too,8667
make,8513
himself,8412
think,8400
every,8343
went,8312
men,8166
life,8087
away,8071
being,8070
thought,7950
own,7874
just,7741
house,7659
eyes,7651
still,7563
might,7533
those,7439
through,7398
without,7377
hand,7357
even,7291
take,7277
let,7265
last,7043
nothing,6969
off,6900
night,6799
yet,6751
head,6745
sir,6695
thou,6626
many,6470
young,6451
get,6411
ever,6369
why,6363
under,6362
tell,6344
same,6306
place,6306
while,6231
face,6137
give,6113
another,6077
three,6055
room,5957
found,5945
look,5910
mrs,5846
saw,5842
took,5753
love,5752
left,5740
people,5664
new,5661
once,5639
though,5597
looked,5515
things,5476
seemed,5423
right,5409
put,5392
thing,5322
lord,5309
going,5288
king,5248
years,5193
world,5179
something,5148
heard,5120
got,5083
always,5075
father,5059
dear,5045
yes,5034
thy,4982
mind,4949
home,4922
against,4913
done,4858
door,4856
asked,4803
heart,4692
name,4667
oh,4659
told,4609
work,4585
having,4560
white,4556
because,4543
hands,4515
soon,4487
half,4446
part,4394
each,4332
miss,4301
seen,4300
poor,4296
moment,4285
both,4273
better,4257
quite,4234
began,4129
knew,4126
few,4114
find,4108
far,4052
enough,4016
called,4010
also,4005
felt,3995
between,3994
o,3990
whole,3972
whom,3964
don't,3964
myself,3955
gave,3926
thee,3922
cried,3880
light,3868
friend,3854
word,3842
words,3837
side,3823
nor,3822
end,3791
set,3774
woman,3770
days,3746
death,3728
till,3664
de,3637
among,3613
looking,3611
want,3606
master,3603
round,3598
morning,3593
mother,3588
replied,3581
however,3571
hear,3567
since,3551
almost,3513
course,3507
full,3491
lady,3470
turned,3464
voice,3433
herself,3419
next,3375
speak,3373
brought,3372
best,3371
anything,3349
indeed,3339
whose,3334
cannot,3318
stood,3316
thus,3315
gone,3306
wife,3296
sea,3283
god,3270
says,3269
country,3262
keep,3248
water,3237
kind,3209
prince,3191
true,3154
black,3128
boy,3111
rather,3071
taken,3035
others,3032
does,3020
leave,3016
enter,2999
together,2998
near,2992
fire,2985
friends,2983
five,2969
count,2965
chapter,2963
matter,2957
children,2950
four,2940
air,2931
times,2924
until,2916
perhaps,2894
high,2889
dead,2888
girl,2884
sat,2882
child,2872
letter,2866
behind,2858
feet,2843
along,2842
passed,2832
john,2815
sure,2813
hope,2793
son,2778
themselves,2776
believe,2711
given,2703
hundred,2698
second,2697
open,2687
around,2685
general,2676
used,2662
bed,2654
coming,2634
large,2593
hour,2577
known,2576
small,2566
state,2559
alone,2558
read,2546
year,2520
help,2511
lay,2509
dark,2506
money,2504
twenty,2495
during,2495
within,2487
often,2474
towards,2471
call,2471
less,2469
really,2468
already,2465
power,2465
rest,2460
present,2453
feel,2450
street,2442
sent,2436
therefore,2425
body,2421
person,2420
mary,2420
means,2417
captain,2416
lost,2416
wish,2415
hard,2402
everything,2392
family,2378
red,2371
slave,2365
use,2358
mine,2331
brother,2328
least,2321
thousand,2317
fear,2316
women,2314
fell,2311
live,2305
held,2301
suddenly,2293
became,2280
it's,2279
slavery,2269
evening,2253
i'll,2245
several,2244
above,2243
sometimes,2240
blood,2231
free,2229
eye,2223
nature,2221
french,2214
point,2209
road,2209
case,2208
mean,2208
table,2207
answered,2206
fact,2201
answer,2194
fellow,2188
kept,2187
else,2184
story,2179
gentleman,2178
arms,2171
hath,2164
making,2163
whether,2152
art,2145
hold,2144
either,2137
certain,2136
book,2128
hair,2118
ask,2114
land,2109
understand,2105
short,2079
reason,2073
turn,2072
sight,2067
window,2062
question,2053
order,2052
ten,2050
bring,2042
uncle,2041
fair,2037
happy,2036
scene,2034
longer,2032
strange,2031
ground,2028
care,2024
rose,2022
returned,2013
manner,2011
ready,1987
earth,1986
sort,1983
city,1975
business,1971
return,1970
age,1963
talk,1956
soul,1952
possible,1944
itself,1937
stand,1933
show,1933
six,1924
cold,1920
cause,1919
big,1911
beautiful,1907
wanted,1899
run,1895
comes,1893
across,1891
idea,1884
fine,1883
daughter,1882
green,1881
strong,1876
ah,1874
bad,1869
feeling,1868
sweet,1868
thinking,1867
sound,1866
town,1866
henry,1864
pretty,1855
appeared,1850
followed,1844
m,1839
doubt,1826
ship,1825
sun,1824
able,1821
suppose,1818
met,1812
queen,1811
spoke,1808
pierre,1806
human,1804
ran,1791
past,1784
saying,1781
girls,1779
become,1759
received,1753
margaret,1752
horse,1751
remember,1746
certainly,1741
sleep,1738
yourself,1737
bear,1734
tis,1731
close,1730
none,1728
school,1724
law,1721
please,1721
english,1719
hours,1718
taking,1711
arm,1710
deep,1706
war,1699
cut,1686
number,1678
die,1671
husband,1669
tried,1663
spirit,1661
truth,1660
subject,1651
duke,1651
nearly,1650
stopped,1647
neither,1642
seem,1640
heaven,1640
doctor,1627
opened,1621
carried,1614
stay,1614
didn't,1611
doing,1607
wind,1602
gold,1601
common,1600
different,1598
pleasure,1589
low,1586
seems,1586
reached,1576
forward,1574
i'm,1574
south,1573
sense,1573
smile,1570
glad,1569
company,1565
added,1553
public,1551
living,1548
tears,1544
interest,1543
london,1542
england,1538
princess,1530
blue,1525
continued,1525
sister,1523
form,1522
foot,1519
change,1516
meet,1513
fall,1512
toward,1510
laid,1507
happened,1492
play,1489
ill,1488
account,1486
ought,1483
tree,1477
mouth,1477
line,1465
trees,1465
late,1464
need,1463
remained,1460
paper,1453
court,1450
thoughts,1440
following,1437
besides,1432
party,1429
lived,1425
clear,1423
attention,1419
makes,1419
brown,1418
peace,1418
try,1416
river,1404
beyond,1403
heavy,1402
standing,1402
seeing,1401
dinner,1401
act,1400
minutes,1400
send,1398
noble,1393
write,1392
hall,1387
early,1385
silence,1385
pass,1383
society,1382
that's,1373
watch,1371
miles,1369
entered,1369
further,1366
front,1364
corner,1364
immediately,1362
purpose,1359
madame,1356
struck,1353
pray,1350
boys,1347
lips,1347
forth,1346
led,1344
joe,1344
although,1340
afraid,1339
church,1339
wait,1335
self,1332
sitting,1332
third,1330
character,1326
anne,1326
slaves,1324
expression,1324
cousin,1323
wild,1321
real,1320
cry,1319
army,1318
chance,1314
honour,1313
necessary,1312
ago,1310
getting,1308
escape,1308
history,1305
france,1305
william,1299
except,1298
walked,1297
exclaimed,1291
grace,1287
letters,1287
dog,1286
drew,1286
paris,1275
jack,1270
pay,1269
chief,1265
save,1261
months,1260
effect,1260
n,1258
boat,1257
instead,1256
andrew,1256
walk,1254
whale,1249
trouble,1245
died,1242
field,1238
glass,1238
knows,1237
peter,1234
horses,1233
seven,1232
impossible,1230
north,1229
eat,1229
started,1222
servant,1221
natural,1218
turning,1212
hat,1211
probably,1211
sit,1211
view,1201
arrived,1200
elizabeth,1200
stop,1199
service,1197
york,1194
written,1194
week,1193
wonder,1192
broken,1191
box,1190
wall,1188
follow,1180
waiting,1180
latter,1178
can't,1178
island,1177
